"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","jd1403","20140102","3940.00","3921.00","3958","3958","3915","3943","3937","22","16","64","2519680.00","388"
"2","jd1403","20140103","3943.00","3937.00","3985","3988","3910","3940","3971","3","34","32","1270900.00","390"
"3","jd1403","20140106","3940.00","3971.00","3954","3969","3941","3941","3961","-30","-10","18","713040.00","380"
"4","jd1403","20140107","3941.00","3961.00","3908","3908","3836","3883","3894","-78","-67","56","2180900.00","386"
"5","jd1403","20140108","3883.00","3894.00","3878","3880","3871","3880","3875","-14","-19","26","1007680.00","382"
"6","jd1403","20140109","3880.00","3875.00","3879","3879","3869","3869","3876","-6","1","22","852900.00","364"
"7","jd1403","20140110","3869.00","3876.00","3879","3885","3874","3885","3876","9","0","28","1085540.00","342"
"8","jd1403","20140113","3885.00","3876.00","3879","3885","3879","3885","3882","9","6","28","1086960.00","316"
"9","jd1403","20140114","3885.00","3882.00","3900","3900","3889","3889","3891","7","9","42","1634300.00","286"
"10","jd1403","20140115","3889.00","3891.00","3879","3882","3875","3875","3878","-16","-13","74","2870120.00","222"
"11","jd1403","20140116","3875.00","3878.00","3862","3862","3825","3825","3842","-53","-36","32","1229740.00","210"
"12","jd1403","20140117","3825.00","3842.00","3810","3825","3810","3825","3819","-17","-23","10","381900.00","210"
"13","jd1403","20140120","3825.00","3819.00","3833","3833","3709","3780","3795","-39","-24","60","2277300.00","208"
"14","jd1403","20140121","3780.00","3795.00","3779","3779","3714","3767","3757","-28","-38","52","1953660.00","196"
"15","jd1403","20140122","3767.00","3757.00","3740","3740","3693","3735","3712","-22","-45","14","519780.00","196"
"16","jd1403","20140123","3735.00","3712.00","3701","3768","3701","3722","3705","10","-7","38","1408260.00","170"
"17","jd1403","20140124","3722.00","3705.00","3741","3741","3644","3660","3679","-45","-26","42","1545300.00","166"
"18","jd1403","20140127","3660.00","3679.00","3601","3616","3537","3552","3584","-127","-95","146","5233520.00","192"
"19","jd1403","20140128","3552.00","3584.00","3555","3582","3493","3541","3549","-43","-35","46","1632660.00","186"
"20","jd1403","20140129","3541.00","3549.00","3456","3515","3456","3515","3495","-34","-54","8","279600.00","188"
"21","jd1403","20140130","3515.00","3495.00","3407","3515","3407","3438","3436","-57","-59","36","1237000.00","194"
"22","jd1403","20140207","3438.00","3436.00","3288","3348","3286","3333","3319","-103","-117","18","597560.00","190"
"23","jd1403","20140210","3333.00","3319.00","3338","3353","3318","3343","3342","24","23","32","1069640.00","182"
"24","jd1403","20140211","3343.00","3342.00","3377","3379","3321","3347","3353","5","11","28","938900.00","178"
"25","jd1403","20140212","3347.00","3353.00","3349","3390","3349","3390","3371","37","18","8","269740.00","178"
"26","jd1403","20140213","3390.00","3371.00","3451","3462","3393","3434","3436","63","65","10","343680.00","178"
"27","jd1403","20140214","3434.00","3436.00","3398","3450","3398","3450","3424","14","-12","30","1027200.00","178"
"28","jd1403","20140217","3450.00","3424.00","3500","3500","3361","3445","3434","21","10","22","755520.00","176"
"29","jd1403","20140218","3445.00","3434.00","3435","3450","3401","3432","3430","-2","-4","20","686140.00","178"
"30","jd1403","20140219","3432.00","3430.00","3433","3440","3410","3417","3429","-13","-1","40","1371940.00","164"
"31","jd1403","20140220","3417.00","3429.00","3446","3480","3428","3428","3470","-1","41","26","902220.00","144"
"32","jd1403","20140221","3428.00","3470.00","3475","3475","3434","3441","3442","-29","-28","32","1101640.00","118"
"33","jd1403","20140224","3441.00","3442.00","3396","3559","3396","3559","3500","117","58","88","3080740.00","50"
"34","jd1403","20140225","3559.00","3500.00","3503","3510","3503","3510","3506","10","6","4","140260.00","46"
"35","jd1403","20140226","3510.00","3506.00","3600","3646","3600","3646","3626","140","120","36","1305620.00","30"
"36","jd1403","20140227","3646.00","3626.00","3617","3617","3548","3548","3608","-78","-18","16","577320.00","16"
"37","jd1403","20140228","3548.00","3608.00","3539","3550","3539","3549","3548","-59","-60","14","496760.00","4"
"38","jd1403","20140303","3549.00","3548.00","0","0","0","3548","3548","0","0","0","0.00","4"
"39","jd1403","20140304","3548.00","3548.00","0","0","0","3548","3548","0","0","0","0.00","4"
"40","jd1403","20140305","3548.00","3548.00","0","0","0","3550","3550","2","2","0","0.00","4"
"41","jd1403","20140306","3550.00","3550.00","3650","3650","3650","3650","3650","100","100","2","73000.00","2"
"42","jd1403","20140307","3650.00","3650.00","3650","3650","3650","3650","3650","0","0","2","73000.00","0"
"43","jd1403","20140310","3650.00","3650.00","0","0","0","3650","3650","0","0","0","0.00","0"
"44","jd1403","20140311","3650.00","3650.00","0","0","0","3650","3650","0","0","0","0.00","0"
"45","jd1403","20140312","3650.00","3650.00","0","0","0","3650","3650","0","0","0","0.00","0"
"46","jd1403","20140313","3650.00","3650.00","0","0","0","3650","3650","0","0","0","0.00","0"
"47","jd1403","20140314","3650.00","3650.00","0","0","0","3650","3650","0","0","0","0.00","0"
"48","jd1404","20140102","3942.00","3942.00","0","0","0","3958","3958","16","16","0","0.00","10"
"49","jd1404","20140103","3958.00","3958.00","4035","4035","4035","4035","4035","77","77","2","80700.00","12"
"50","jd1404","20140106","4035.00","4035.00","3979","3979","3979","3979","3979","-56","-56","2","79580.00","12"
"51","jd1404","20140107","3979.00","3979.00","0","0","0","3979","3979","0","0","0","0.00","12"
"52","jd1404","20140108","3979.00","3979.00","0","0","0","3960","3960","-19","-19","0","0.00","12"
"53","jd1404","20140109","3960.00","3960.00","3895","3895","3802","3802","3848","-158","-112","4","153940.00","12"
"54","jd1404","20140110","3802.00","3848.00","0","0","0","3848","3848","0","0","0","0.00","12"
"55","jd1404","20140113","3848.00","3848.00","0","0","0","3848","3848","0","0","0","0.00","12"
"56","jd1404","20140114","3848.00","3848.00","3790","3840","3790","3840","3815","-8","-33","4","152600.00","10"
"57","jd1404","20140115","3840.00","3815.00","0","0","0","3815","3815","0","0","0","0.00","10"
"58","jd1404","20140116","3815.00","3815.00","0","0","0","3815","3815","0","0","0","0.00","10"
"59","jd1404","20140117","3815.00","3815.00","0","0","0","3815","3815","0","0","0","0.00","10"
"60","jd1404","20140120","3815.00","3815.00","0","0","0","3815","3815","0","0","0","0.00","10"
"61","jd1404","20140121","3815.00","3815.00","3725","3725","3725","3725","3725","-90","-90","2","74500.00","8"
"62","jd1404","20140122","3725.00","3725.00","3668","3668","3668","3668","3668","-57","-57","4","146720.00","4"
"63","jd1404","20140123","3668.00","3668.00","0","0","0","3668","3668","0","0","0","0.00","4"
"64","jd1404","20140124","3668.00","3668.00","0","0","0","3668","3668","0","0","0","0.00","4"
"65","jd1404","20140127","3668.00","3668.00","3652","3652","3626","3626","3639","-42","-29","8","291160.00","10"
