,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,jd1501,20150105,4690,4492,4700,4700,4580,4580,4640,88,148,112,5197640,36
2,jd1501,20150106,4580,4640,4918,4918,4363,4686,4649,46,9,32,1487840,20
3,jd1501,20150107,4686,4649,4690,4690,4690,4690,4690,41,41,2,93800,18
4,jd1501,20150108,4690,4690,4581,4587,4581,4587,4586,-103,-104,12,550320,6
5,jd1501,20150109,4587,4586,4587,4587,4587,4587,4587,1,1,2,91740,4
6,jd1501,20150112,4587,4587,0,0,0,4587,4587,0,0,0,0,4
7,jd1501,20150113,4587,4587,4312,4312,4312,4312,4312,-275,-275,2,86240,4
8,jd1501,20150114,4312,4312,0,0,0,4312,4312,0,0,0,0,4
9,jd1501,20150115,4312,4312,0,0,0,4312,4312,0,0,0,0,4
10,jd1501,20150116,4312,4312,4430,4430,4430,4430,4631,118,319,2,88600,0
11,jd1502,20150105,4467,4467,0,0,0,4467,4467,0,0,0,0,62
12,jd1502,20150106,4467,4467,0,0,0,4467,4467,0,0,0,0,62
13,jd1502,20150107,4467,4467,4252,4545,4252,4545,4398,78,-69,4,175940,62
14,jd1502,20150108,4545,4398,4398,4398,4398,4398,4398,0,0,2,87960,60
15,jd1502,20150109,4398,4398,4500,4500,4500,4500,4500,102,102,12,540000,58
16,jd1502,20150112,4500,4500,0,0,0,4500,4500,0,0,0,0,58
17,jd1502,20150113,4500,4500,4500,4500,4500,4500,4500,0,0,6,270000,58
18,jd1502,20150114,4500,4500,4500,4533,4500,4533,4512,33,12,16,722000,48
19,jd1502,20150115,4533,4512,4484,4484,4484,4484,4484,-28,-28,2,89680,48
20,jd1502,20150116,4484,4484,4510,4510,4510,4510,4510,26,26,2,90200,46
21,jd1502,20150119,4510,4510,4498,4498,4498,4498,4498,-12,-12,2,89960,44
22,jd1502,20150120,4498,4498,4497,4500,4486,4486,4492,-12,-6,16,718800,28
23,jd1502,20150121,4486,4492,0,0,0,4492,4492,0,0,0,0,28
24,jd1502,20150122,4492,4492,0,0,0,4492,4492,0,0,0,0,28
25,jd1502,20150123,4492,4492,4506,4506,4503,4503,4505,11,13,14,630780,26
26,jd1502,20150126,4503,4505,4500,4596,4500,4586,4567,81,62,10,456720,20
27,jd1502,20150127,4586,4567,4500,4500,4500,4500,4500,-67,-67,4,180000,16
28,jd1502,20150128,4500,4500,4500,4500,4500,4500,4500,0,0,4,180000,12
29,jd1502,20150129,4500,4500,4480,4717,4300,4300,4518,-200,18,68,3072280,0
30,jd1502,20150130,4300,4518,0,0,0,4518,4518,0,0,0,0,0
31,jd1502,20150202,4518,4518,0,0,0,4518,4518,0,0,0,0,0
32,jd1502,20150203,4518,4518,0,0,0,4518,4518,0,0,0,0,0
33,jd1502,20150204,4518,4518,0,0,0,4518,4518,0,0,0,0,0
34,jd1502,20150205,4518,4518,0,0,0,4518,4518,0,0,0,0,0
35,jd1502,20150206,4518,4518,0,0,0,4518,4518,0,0,0,0,0
36,jd1502,20150209,4518,4518,0,0,0,4518,4518,0,0,0,0,0
37,jd1502,20150210,4518,4518,0,0,0,4518,4518,0,0,0,0,0
38,jd1502,20150211,4518,4518,0,0,0,4518,4518,0,0,0,0,0
39,jd1502,20150212,4518,4518,0,0,0,4518,4518,0,0,0,0,0
40,jd1502,20150213,4518,4518,0,0,0,4518,4518,0,0,0,0,0
41,jd1503,20150105,4196,4203,4196,4220,4196,4208,4207,5,4,80,3366100,518
42,jd1503,20150106,4208,4207,4201,4213,4183,4194,4198,-13,-9,80,3359100,474
43,jd1503,20150107,4194,4198,4171,4197,4059,4163,4152,-35,-46,84,3488360,472
44,jd1503,20150108,4163,4152,4190,4190,4175,4175,4184,23,32,6,251080,472
45,jd1503,20150109,4175,4184,4184,4200,4167,4200,4179,16,-5,42,1755340,484
46,jd1503,20150112,4200,4179,4181,4227,4165,4200,4189,21,10,50,2094800,472
47,jd1503,20150113,4200,4189,4150,4197,4141,4178,4164,-11,-25,32,1332520,458
48,jd1503,20150114,4178,4164,4270,4270,4152,4185,4181,21,17,186,7777700,356
49,jd1503,20150115,4185,4181,4195,4205,4195,4205,4200,24,19,26,1092180,344
50,jd1503,20150116,4205,4200,4195,4218,4195,4218,4206,18,6,12,504820,336
51,jd1503,20150119,4218,4206,4183,4221,4183,4217,4209,11,3,30,1262700,330
52,jd1503,20150120,4217,4209,4202,4202,4200,4200,4201,-9,-8,6,252080,324
53,jd1503,20150121,4200,4201,4240,4265,4192,4192,4219,-9,18,28,1181560,322
54,jd1503,20150122,4192,4219,4155,4260,4153,4238,4229,19,10,94,3976020,298
55,jd1503,20150123,4238,4229,4227,4231,4212,4212,4220,-17,-9,12,506480,294
56,jd1503,20150126,4212,4220,4247,4247,4228,4228,4238,8,18,6,254280,296
57,jd1503,20150127,4228,4238,4313,4313,4211,4222,4249,-16,11,22,934980,288
58,jd1503,20150128,4222,4249,4219,4246,4206,4246,4225,-3,-24,18,760600,288
59,jd1503,20150129,4246,4225,4207,4219,4206,4206,4213,-19,-12,12,505560,280
60,jd1503,20150130,4206,4213,4166,4199,4166,4180,4181,-33,-32,6,250900,280
61,jd1503,20150202,4180,4181,0,0,0,4188,4188,7,7,0,0,280
62,jd1503,20150203,4188,4188,4200,4233,4200,4233,4216,45,28,4,168660,278
63,jd1503,20150204,4233,4216,4240,4253,4151,4201,4216,-15,0,38,1602400,264
64,jd1503,20150205,4201,4216,0,0,0,4216,4216,0,0,0,0,264
65,jd1503,20150206,4216,4216,0,0,0,4216,4216,0,0,0,0,264
66,jd1503,20150209,4216,4216,4229,4236,4228,4236,4233,20,17,14,592620,260
67,jd1503,20150210,4236,4233,4221,4244,4210,4210,4232,-23,-1,14,592520,250
68,jd1503,20150211,4210,4232,4182,4223,4182,4186,4202,-46,-30,12,504300,248
69,jd1503,20150212,4186,4202,4229,4240,4184,4209,4227,7,25,132,5580560,130
70,jd1503,20150213,4209,4227,4201,4201,4201,4201,4201,-26,-26,12,504120,122
71,jd1503,20150216,4201,4201,0,0,0,4201,4201,0,0,0,0,122
72,jd1503,20150217,4201,4201,4208,4210,4198,4210,4204,9,3,20,840900,110
73,jd1503,20150225,4210,4204,4199,4296,4187,4187,4220,-17,16,68,2869760,88
74,jd1503,20150226,4187,4220,4151,4224,4151,4224,4187,4,-33,38,1591280,56
75,jd1503,20150227,4224,4187,4266,4266,3980,4100,4192,-87,5,56,2348000,18
76,jd1503,20150302,4100,4192,4023,4200,4023,4200,4090,8,-102,16,654460,4
77,jd1503,20150303,4200,4090,0,0,0,4090,4090,0,0,0,0,4
78,jd1503,20150304,4090,4090,0,0,0,4090,4090,0,0,0,0,4
79,jd1503,20150305,4090,4090,0,0,0,4090,4090,0,0,0,0,4
80,jd1503,20150306,4090,4090,0,0,0,4090,4090,0,0,0,0,4
81,jd1503,20150309,4090,4090,0,0,0,4090,4090,0,0,0,0,4
82,jd1503,20150310,4090,4090,0,0,0,4090,4090,0,0,0,0,4
83,jd1503,20150311,4090,4090,0,0,0,3845,3845,-245,-245,0,0,4
