"ROWNUM","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","jd1601","20160104","3614.00","3645.00","3616","3696","3427","3428","3541","-217","-104","254","8995160.00","62"
"2","jd1601","20160105","3428.00","3541.00","3431","3451","3431","3451","3441","-90","-100","4","137640.00","58"
"3","jd1601","20160106","3451.00","3441.00","3340","3639","3340","3639","3537","198","96","6","212240.00","56"
"4","jd1601","20160107","3639.00","3537.00","3699","3710","3560","3560","3691","23","154","28","1033560.00","36"
"5","jd1601","20160108","3560.00","3691.00","3700","3710","3570","3585","3667","-106","-24","16","586800.00","22"
"6","jd1601","20160111","3585.00","3667.00","3795","3795","3670","3670","3763","3","96","8","301060.00","22"
"7","jd1601","20160112","3670.00","3763.00","3710","3810","3710","3810","3743","47","-20","6","224600.00","16"
"8","jd1601","20160113","3810.00","3743.00","3950","3950","3755","3920","3897","177","154","12","467700.00","4"
"9","jd1601","20160114","3920.00","3897.00","4130","4130","4130","4130","4130","233","233","2","82600.00","2"
"10","jd1601","20160115","4130.00","4130.00","0","0","0","3583","3583","-547","-547","0","0.00","0"
"11","jd1602","20160104","3293.00","3223.00","3152","3198","3151","3197","3180","-26","-43","26","826960.00","192"
"12","jd1602","20160105","3197.00","3180.00","3176","3176","3176","3176","3176","-4","-4","2","63520.00","190"
"13","jd1602","20160106","3176.00","3176.00","3214","3214","3188","3188","3192","12","16","16","510840.00","188"
"14","jd1602","20160107","3188.00","3192.00","3151","3151","3151","3151","3151","-41","-41","4","126040.00","188"
"15","jd1602","20160108","3151.00","3151.00","3197","3197","3177","3188","3182","37","31","26","827340.00","192"
"16","jd1602","20160111","3188.00","3182.00","3192","3209","3170","3209","3195","27","13","24","766960.00","198"
"17","jd1602","20160112","3209.00","3195.00","3225","3225","3178","3178","3187","-17","-8","22","701200.00","212"
"18","jd1602","20160113","3178.00","3187.00","3180","3180","3180","3180","3180","-7","-7","6","190800.00","212"
"19","jd1602","20160114","3180.00","3180.00","3198","3279","3198","3216","3231","36","51","70","2261940.00","222"
"20","jd1602","20160115","3216.00","3231.00","3216","3267","3216","3241","3242","10","11","30","972700.00","236"
"21","jd1602","20160118","3241.00","3242.00","3271","3400","3251","3399","3358","157","116","74","2485500.00","224"
"22","jd1602","20160119","3399.00","3358.00","3432","3455","3406","3441","3441","83","83","32","1101180.00","224"
"23","jd1602","20160120","3441.00","3441.00","3495","3495","3390","3455","3427","14","-14","166","5690280.00","280"
"24","jd1602","20160121","3455.00","3427.00","3469","3526","3440","3500","3490","73","63","148","5166560.00","268"
"25","jd1602","20160122","3500.00","3490.00","3580","3580","3466","3500","3521","10","31","52","1831100.00","260"
"26","jd1602","20160125","3500.00","3521.00","3500","3500","3373","3384","3427","-137","-94","126","4318220.00","220"
