date,open,high,low,close,vol
2016-06-01,3333.000,3333.000,3299.000,3307.000,1324
2016-06-02,3315.000,3333.000,3300.000,3324.000,966
2016-06-03,3339.000,3341.000,3320.000,3332.000,1070
2016-06-06,3329.000,3365.000,3311.000,3358.000,1864
2016-06-07,3364.000,3370.000,3349.000,3368.000,956
2016-06-08,3360.000,3384.000,3355.000,3384.000,1274
2016-06-13,3379.000,3484.000,3332.000,3484.000,3362
2016-06-14,3460.000,3469.000,3430.000,3435.000,2678
2016-06-15,3436.000,3448.000,3364.000,3370.000,3830
2016-06-16,3365.000,3379.000,3349.000,3370.000,2062
2016-06-17,3369.000,3413.000,3368.000,3412.000,1696
2016-06-20,3402.000,3414.000,3385.000,3401.000,1440
2016-06-21,3400.000,3409.000,3356.000,3369.000,2168
2016-06-22,3358.000,3387.000,3355.000,3387.000,798
2016-06-23,3387.000,3400.000,3367.000,3378.000,1822
2016-06-24,3379.000,3406.000,3376.000,3380.000,1270
2016-06-27,3392.000,3450.000,3392.000,3442.000,2818
2016-06-28,3442.000,3483.000,3427.000,3480.000,2942
2016-06-29,3482.000,3636.000,3481.000,3527.000,5246
2016-06-30,3526.000,3540.000,3510.000,3530.000,1700
2016-07-01,3544.000,3554.000,3513.000,3539.000,2580
2016-07-04,3553.000,3570.000,3531.000,3536.000,4044
2016-07-05,3536.000,3580.000,3485.000,3574.000,4160
2016-07-06,3545.000,3618.000,3491.000,3580.000,9408
2016-07-07,3588.000,3620.000,3540.000,3549.000,3028
2016-07-08,3521.000,3577.000,3469.000,3487.000,4526
2016-07-11,3512.000,3555.000,3512.000,3524.000,2738
2016-07-12,3508.000,3535.000,3463.000,3482.000,4678
2016-07-13,3491.000,3500.000,3469.000,3477.000,4278
2016-07-14,3484.000,3486.000,3451.000,3456.000,2986
2016-07-15,3448.000,3465.000,3427.000,3445.000,2462
2016-07-18,3428.000,3466.000,3428.000,3435.000,2990
2016-07-19,3440.000,3457.000,3375.000,3381.000,5540
2016-07-20,3383.000,3384.000,3351.000,3364.000,3966
2016-07-21,3360.000,3379.000,3353.000,3371.000,3272
2016-07-22,3375.000,3382.000,3313.000,3324.000,6970
2016-07-25,3325.000,3329.000,3282.000,3288.000,5034
2016-07-26,3299.000,3300.000,3282.000,3295.000,1856
2016-07-27,3300.000,3316.000,3267.000,3276.000,4540
2016-07-28,3289.000,3293.000,3266.000,3269.000,5162
2016-07-29,3271.000,3289.000,3231.000,3237.000,5374
2016-08-01,3235.000,3245.000,3211.000,3242.000,5974
2016-08-02,3232.000,3259.000,3218.000,3248.000,5962
2016-08-03,3248.000,3268.000,3234.000,3247.000,5152
2016-08-04,3264.000,3291.000,3255.000,3285.000,8264
2016-08-05,3306.000,3309.000,3272.000,3284.000,6290
2016-08-08,3300.000,3315.000,3267.000,3268.000,8736
2016-08-09,3280.000,3286.000,3258.000,3276.000,6888
2016-08-10,3282.000,3302.000,3278.000,3291.000,5512
2016-08-11,3290.000,3295.000,3265.000,3273.000,5728
2016-08-12,3284.000,3284.000,3251.000,3259.000,7760
2016-08-15,3266.000,3294.000,3255.000,3288.000,10922
2016-08-16,3298.000,3309.000,3284.000,3298.000,9012
2016-08-17,3303.000,3334.000,3301.000,3315.000,12780
2016-08-18,3310.000,3330.000,3286.000,3298.000,9972
2016-08-19,3295.000,3307.000,3269.000,3282.000,8644
2016-08-22,3289.000,3305.000,3274.000,3278.000,8928
2016-08-23,3285.000,3295.000,3217.000,3221.000,18404
2016-08-24,3233.000,3233.000,3211.000,3214.000,10060
2016-08-25,3210.000,3221.000,3170.000,3190.000,19418
2016-08-26,3192.000,3204.000,3171.000,3173.000,9442
2016-08-29,3171.000,3188.000,3153.000,3181.000,10282
2016-08-30,3188.000,3193.000,3177.000,3180.000,6338
2016-08-31,3182.000,3199.000,3148.000,3158.000,16000
2016-09-01,3156.000,3177.000,3156.000,3174.000,9542
2016-09-02,3180.000,3214.000,3160.000,3180.000,13368
2016-09-05,3180.000,3194.000,3151.000,3167.000,11686
2016-09-06,3169.000,3183.000,3160.000,3179.000,9392
2016-09-07,3188.000,3215.000,3160.000,3206.000,17572
2016-09-08,3203.000,3240.000,3193.000,3239.000,18588
