ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,jd1701,20170103,3086,3147,3015,3015,2896,2898,2915,-249,-232,286,8339620,46
2,jd1701,20170104,2898,2915,0,0,0,2915,2915,0,0,0,0,46
3,jd1701,20170105,2915,2915,2901,2901,2901,2901,2901,-14,-14,2,58020,44
4,jd1701,20170106,2901,2901,2939,2988,2939,2988,2977,87,76,10,297740,34
5,jd1701,20170109,2988,2977,2909,2909,2909,2909,2909,-68,-68,2,58180,32
6,jd1701,20170110,2909,2909,0,0,0,2909,2909,0,0,0,0,32
7,jd1701,20170111,2909,2909,2909,2909,2901,2901,2905,-8,-4,4,116200,28
8,jd1701,20170112,2901,2905,0,0,0,2905,2905,0,0,0,0,28
9,jd1701,20170113,2905,2905,2800,2975,2800,2895,2852,-10,-53,22,627600,6
10,jd1701,20170116,2895,2852,0,0,0,2913,2913,61,61,0,0,0
11,jd1702,20170103,3051,3059,3050,3050,2990,3006,3004,-53,-55,268,8052060,1108
12,jd1702,20170104,3006,3004,2993,3034,2962,3006,3012,2,8,272,8194120,1054
13,jd1702,20170105,3006,3012,3009,3009,2990,3002,2996,-10,-16,78,2336900,1046
14,jd1702,20170106,3002,2996,3002,3005,2905,2957,2963,-39,-33,162,4801000,1040
15,jd1702,20170109,2957,2963,2936,2978,2923,2939,2945,-24,-18,106,3122320,1036
16,jd1702,20170110,2939,2945,2950,2950,2921,2924,2930,-21,-15,38,1113520,1042
17,jd1702,20170111,2924,2930,2950,2959,2931,2955,2945,25,15,166,4889060,1080
18,jd1702,20170112,2955,2945,2943,2943,2882,2883,2910,-62,-35,160,4657080,1140
19,jd1702,20170113,2883,2910,2859,2910,2851,2903,2878,-7,-32,512,14736460,1092
20,jd1702,20170116,2903,2878,2851,2888,2848,2854,2865,-24,-13,330,9454720,1014
21,jd1702,20170117,2854,2865,2875,2877,2836,2860,2860,-5,-5,260,7437460,952
22,jd1702,20170118,2860,2860,2857,2867,2836,2860,2850,0,-10,56,1596180,928
23,jd1702,20170119,2860,2850,2858,2868,2852,2854,2859,4,9,152,4346580,880
24,jd1702,20170120,2854,2859,2859,2859,2836,2844,2844,-15,-15,110,3129120,850
25,jd1702,20170123,2844,2844,2825,2826,2716,2716,2758,-128,-86,280,7722560,824
26,jd1702,20170124,2716,2758,2716,2716,2621,2631,2645,-127,-113,414,10954140,706
27,jd1702,20170125,2631,2645,2584,2645,2583,2638,2616,-7,-29,324,8477460,516
28,jd1702,20170126,2638,2616,2613,2680,2601,2603,2627,-13,11,630,16551880,62
29,jd1702,20170203,2603,2627,2522,2620,2512,2558,2546,-69,-81,34,865760,46
30,jd1702,20170206,2558,2546,2674,2674,2555,2555,2595,9,49,6,155700,48
31,jd1702,20170207,2555,2595,2654,2655,2654,2655,2654,60,59,4,106180,50
32,jd1702,20170208,2655,2654,2610,2610,2610,2610,2610,-44,-44,4,104400,50
33,jd1702,20170209,2610,2610,2660,2670,2580,2640,2639,30,29,28,739000,36
34,jd1702,20170210,2640,2639,2670,2675,2660,2660,2668,21,29,6,160100,34
35,jd1702,20170213,2660,2668,2695,2695,2630,2630,2676,-38,8,14,374700,30
36,jd1702,20170214,2630,2676,2551,2698,2551,2596,2618,-80,-58,24,628420,6
37,jd1702,20170215,2596,2618,2590,2698,2590,2698,2644,80,26,8,211520,2
38,jd1702,20170216,2698,2644,2660,2660,2660,2660,2614,16,-30,2,53200,0
39,jd1703,20170103,3076,3071,3050,3067,3039,3050,3047,-21,-24,354,10788160,2852
40,jd1703,20170104,3050,3047,3012,3070,3008,3059,3037,12,-10,762,23146360,2980
41,jd1703,20170105,3059,3037,3059,3059,3010,3033,3032,-4,-5,390,11825340,3098
42,jd1703,20170106,3033,3032,3016,3037,3011,3015,3021,-17,-11,448,13534900,3290
