   ,ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交额,持仓量
19575,19575,jd1801,20180102,4653.00,4567.00,4600,4831,4600,4810,4701.00,243,134,670,31496920.00,308
19576,19576,jd1801,20180103,4810.00,4701.00,4762,4800,4750,4777,4767.00,76,66,60,2860760.00,260
19577,19577,jd1801,20180104,4777.00,4767.00,4700,4810,4495,4798,4721.00,31,-46,84,3966000.00,246
19578,19578,jd1801,20180105,4798.00,4721.00,4798,4798,4769,4775,4778.00,54,57,34,1624780.00,216
19579,19579,jd1801,20180108,4775.00,4778.00,4770,4770,4700,4700,4728.00,-78,-50,20,945600.00,214
19580,19580,jd1801,20180109,4700.00,4728.00,4760,4760,4760,4760,4760.00,32,32,8,380800.00,214
19581,19581,jd1801,20180110,4760.00,4760.00,4750,4750,4701,4730,4720.00,-30,-40,32,1510660.00,188
19582,19582,jd1801,20180111,4730.00,4720.00,0,0,0,4720,4720.00,0,0,0,0.00,188
19583,19583,jd1801,20180112,4720.00,4720.00,4787,4800,4777,4777,4786.00,57,66,10,478640.00,184
19584,19584,jd1801,20180115,4777.00,4786.00,4769,4769,4735,4750,4744.00,-36,-42,34,1613180.00,154
19585,19585,jd1801,20180116,4750.00,4744.00,4750,4750,4750,4750,4750.00,6,6,2,95000.00,152
19586,19586,jd1801,20180117,4750.00,4750.00,4749,4749,4669,4690,4713.00,-60,-37,36,1697000.00,150
19587,19587,jd1801,20180118,4690.00,4713.00,4679,4680,4679,4680,4679.00,-33,-34,10,467980.00,146
19588,19588,jd1801,20180119,4680.00,4679.00,4600,4649,4550,4649,4583.00,-30,-96,24,1099960.00,136
19589,19589,jd1801,20180122,4649.00,4583.00,4699,4769,4650,4750,4716.00,167,133,44,2075080.00,106
19590,19590,jd1801,20180123,4750.00,4716.00,4750,4755,4750,4755,4751.00,39,35,14,665200.00,82
19591,19591,jd1801,20180124,4755.00,4751.00,4670,4749,4670,4749,4714.00,-2,-37,30,1414320.00,58
19592,19592,jd1801,20180125,4749.00,4714.00,4746,4750,4710,4750,4744.00,36,30,24,1138580.00,28
19593,19593,jd1801,20180126,4750.00,4744.00,4750,4800,4695,4800,4713.00,56,-31,30,1422100.00,0
19594,19594,jd1802,20180102,4221.00,4239.00,4243,4280,4233,4278,4255.00,39,16,5758,245018860.00,14164
19595,19595,jd1802,20180103,4278.00,4255.00,4280,4293,4224,4224,4251.00,-31,-4,3764,160010440.00,14180
19596,19596,jd1802,20180104,4224.00,4251.00,4230,4238,4185,4204,4202.00,-47,-49,3912,164383920.00,13900
19597,19597,jd1802,20180105,4204.00,4202.00,4200,4200,4143,4147,4170.00,-55,-32,3832,159807420.00,14198
19598,19598,jd1802,20180108,4147.00,4170.00,4145,4159,4025,4043,4074.00,-127,-96,6570,267667560.00,13784
19599,19599,jd1802,20180109,4043.00,4074.00,4035,4052,4004,4045,4035.00,-29,-39,3328,134299900.00,13532
19600,19600,jd1802,20180110,4045.00,4035.00,4045,4077,4031,4049,4052.00,14,17,2934,118889820.00,13490
19601,19601,jd1802,20180111,4049.00,4052.00,4065,4070,4030,4055,4045.00,3,-7,2700,109224800.00,13082
19602,19602,jd1802,20180112,4055.00,4045.00,4055,4055,4013,4027,4036.00,-18,-9,5570,224853780.00,11444
19603,19603,jd1802,20180115,4027.00,4036.00,4010,4031,3870,3898,3965.00,-138,-71,7342,291139480.00,10406
19604,19604,jd1802,20180116,3898.00,3965.00,3890,3915,3855,3901,3890.00,-64,-75,4326,168288460.00,9924
19605,19605,jd1802,20180117,3901.00,3890.00,3883,3885,3830,3838,3860.00,-52,-30,3190,123147620.00,10142
19606,19606,jd1802,20180118,3838.00,3860.00,3813,3848,3771,3845,3811.00,-15,-49,4108,156594680.00,9734
19607,19607,jd1802,20180119,3845.00,3811.00,3844,3868,3812,3855,3842.00,44,31,2930,112597640.00,9580
19608,19608,jd1802,20180122,3855.00,3842.00,3865,3896,3845,3862,3873.00,20,31,2532,98078680.00,9502
19609,19609,jd1802,20180123,3862.00,3873.00,3873,3876,3783,3799,3814.00,-74,-59,2856,108951540.00,9364
19610,19610,jd1802,20180124,3799.00,3814.00,3805,3821,3766,3784,3793.00,-30,-21,2484,94220140.00,8954
19611,19611,jd1802,20180125,3784.00,3793.00,3775,3777,3685,3705,3724.00,-88,-69,3210,119547180.00,8868
19612,19612,jd1802,20180126,3705.00,3724.00,3700,3710,3620,3651,3660.00,-73,-64,3774,138140420.00,7704
19613,19613,jd1802,20180129,3651.00,3660.00,3646,3696,3631,3680,3658.00,20,-2,2516,92045360.00,7164
19614,19614,jd1802,20180130,3680.00,3658.00,3690,3749,3663,3705,3702.00,47,44,2678,99144940.00,6356
19615,19615,jd1802,20180131,3705.00,3702.00,3700,3710,3538,3543,3616.00,-159,-86,9142,330628520.00,718
19616,19616,jd1802,20180201,3543.00,3616.00,3659,3659,3442,3512,3482.00,-104,-134,534,18593880.00,304
19617,19617,jd1802,20180202,3512.00,3482.00,3593,3625,3511,3511,3572.00,29,90,16,571620.00,296
19618,19618,jd1802,20180205,3511.00,3572.00,3612,3712,3571,3695,3685.00,123,113,58,2137720.00,278
19619,19619,jd1802,20180206,3695.00,3685.00,3581,3700,3580,3700,3654.00,15,-31,28,1023160.00,252
19620,19620,jd1802,20180207,3700.00,3654.00,3695,3700,3695,3700,3698.00,46,44,10,369800.00,242
19621,19621,jd1802,20180208,3700.00,3698.00,3700,3780,3651,3779,3732.00,81,34,66,2463360.00,212
19622,19622,jd1802,20180209,3779.00,3732.00,3795,3888,3795,3888,3834.00,156,102,42,1610560.00,200
19623,19623,jd1802,20180212,3888.00,3834.00,3924,3990,3876,3990,3962.00,156,128,40,1584800.00,182
19624,19624,jd1802,20180213,3990.00,3962.00,4000,4049,3858,3882,3959.00,-80,-3,50,1979800.00,120
19625,19625,jd1802,20180214,3882.00,3959.00,3985,3999,3895,3999,3953.00,40,-6,56,2214020.00,64
19626,19626,jd1802,20180222,3999.00,3953.00,3900,3990,3900,3990,3941.00,37,-12,16,630700.00,44
19627,19627,jd1802,20180223,3990.00,3941.00,3988,3988,3850,3948,3834.00,7,-107,30,1170240.00,0
19628,19628,jd1803,20180102,3830.00,3835.00,3845,3860,3835,3859,3849.00,24,14,1940,74684560.00,13810
19629,19629,jd1803,20180103,3859.00,3849.00,3866,3866,3820,3825,3842.00,-24,-7,1426,54792860.00,13832
19630,19630,jd1803,20180104,3825.00,3842.00,3830,3831,3785,3795,3798.00,-47,-44,2520,95723940.00,14186
19631,19631,jd1803,20180105,3795.00,3798.00,3789,3800,3742,3750,3773.00,-48,-25,3076,116074080.00,15182
19632,19632,jd1803,20180108,3750.00,3773.00,3751,3765,3668,3669,3703.00,-104,-70,3176,117619040.00,15466
19633,19633,jd1803,20180109,3669.00,3703.00,3670,3708,3659,3685,3687.00,-18,-16,2520,92928600.00,15150
19634,19634,jd1803,20180110,3685.00,3687.00,3682,3701,3665,3676,3680.00,-11,-7,1246,45857680.00,15330
19635,19635,jd1803,20180111,3676.00,3680.00,3689,3693,3657,3673,3666.00,-7,-14,1732,63505600.00,15776
19636,19636,jd1803,20180112,3673.00,3666.00,3670,3697,3642,3678,3671.00,12,5,3814,140045600.00,15472
19637,19637,jd1803,20180115,3678.00,3671.00,3670,3677,3617,3620,3647.00,-51,-24,4490,163794080.00,15810
19638,19638,jd1803,20180116,3620.00,3647.00,3610,3625,3598,3609,3614.00,-38,-33,3656,132159300.00,15154
