"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年11月26日","4,679.00","4,400.00","4,558.00","4,360.00","0.02K","7.46%"
"2019年11月25日","4,354.00","4,246.00","4,382.00","4,246.00","0.01K","1.02%"
"2019年11月22日","4,310.00","4,300.00","4,326.00","4,300.00","0.01K","0.07%"
"2019年11月21日","4,307.00","4,379.00","4,396.00","4,255.00","0.01K","-1.62%"
"2019年11月20日","4,378.00","4,378.00","4,378.00","4,378.00","0.01K","-1.04%"
"2019年11月19日","4,424.00","4,433.00","4,435.00","4,406.00","0.01K","-0.05%"
"2019年11月18日","4,426.00","4,400.00","4,735.00","4,354.00","0.06K","-5.59%"
"2019年11月15日","4,688.00","4,705.00","4,705.00","4,685.00","0.04K","-5.94%"
"2019年11月14日","4,984.00","5,000.00","5,000.00","4,980.00","0.03K","-1.40%"
"2019年11月13日","5,055.00","5,100.00","5,100.00","4,911.00","0.06K","1.38%"
"2019年11月12日","4,986.00","4,975.00","4,993.00","4,975.00","0.01K","0.24%"
"2019年11月11日","4,974.00","5,001.00","5,001.00","4,870.00","0.07K","-3.57%"
"2019年11月8日","5,158.00","5,158.00","5,158.00","5,158.00","0.00K","0.08%"
"2019年11月7日","5,154.00","5,154.00","5,154.00","5,154.00","0.00K","-1.07%"
"2019年11月6日","5,210.00","5,208.00","5,212.00","5,208.00","0.01K","-1.85%"
"2019年11月5日","5,308.00","5,308.00","5,310.00","5,308.00","0.01K","-2.75%"
"2019年11月4日","5,458.00","5,451.00","5,488.00","5,411.00","0.05K","1.49%"
"2019年11月1日","5,378.00","5,362.00","5,449.00","5,317.00","0.28K","-1.50%"
"2019年10月31日","5,460.00","5,570.00","5,600.00","5,301.00","4.12K","-1.97%"
"2019年10月30日","5,570.00","5,540.00","5,635.00","5,490.00","2.94K","2.67%"
"2019年10月29日","5,425.00","5,500.00","5,565.00","5,037.00","4.18K","11.74%"
"2019年10月28日","4,855.00","4,855.00","4,855.00","4,855.00","-","-7.52%"
"2019年10月25日","5,250.00","5,250.00","5,250.00","5,250.00","-","0.00%"
"2019年10月24日","5,250.00","5,250.00","5,250.00","5,250.00","-","-1.81%"
"2019年10月23日","5,347.00","5,360.00","5,360.00","5,305.00","0.07K","5.30%"
"2019年10月22日","5,078.00","5,125.00","5,200.00","4,985.00","0.06K","1.82%"
"2019年10月21日","4,987.00","4,987.00","4,987.00","4,987.00","0.00K","5.99%"
"2019年10月18日","4,705.00","4,925.00","4,925.00","4,635.00","0.03K","0.84%"
"2019年10月17日","4,666.00","4,565.00","4,870.00","4,565.00","0.08K","1.55%"
"2019年10月16日","4,595.00","4,580.00","4,618.00","4,561.00","0.04K","0.59%"
"2019年10月15日","4,568.00","4,570.00","4,615.00","4,550.00","0.05K","-0.59%"
"2019年10月14日","4,595.00","4,600.00","4,620.00","4,532.00","0.06K","1.06%"
"2019年10月11日","4,547.00","4,569.00","4,569.00","4,518.00","0.05K","0.11%"
"2019年10月10日","4,542.00","4,538.00","4,548.00","4,538.00","0.03K","1.18%"
"2019年10月9日","4,489.00","4,463.00","4,511.00","4,463.00","0.22K","-0.33%"
"2019年10月8日","4,504.00","4,550.00","4,550.00","4,446.00","0.27K","0.40%"
"2019年9月30日","4,486.00","4,388.00","4,570.00","4,372.00","5.07K","-0.38%"
"2019年9月27日","4,503.00","4,490.00","4,537.00","4,451.00","4.41K","1.28%"
"2019年9月26日","4,446.00","4,361.00","4,525.00","4,361.00","5.50K","-4.53%"
"2019年9月25日","4,657.00","4,800.00","4,800.00","4,750.00","0.02K","-5.15%"
"2019年9月24日","4,910.00","4,980.00","4,980.00","4,850.00","0.02K","-2.15%"
"2019年9月23日","5,018.00","5,015.00","5,100.00","5,000.00","0.01K","1.68%"
"2019年9月20日","4,935.00","4,950.00","5,000.00","4,900.00","0.05K","0.94%"
"2019年9月19日","4,889.00","4,899.00","4,900.00","4,879.00","0.01K","0.12%"
"2019年9月18日","4,883.00","4,899.00","4,942.00","4,861.00","0.07K","0.23%"
"2019年9月17日","4,872.00","5,020.00","5,020.00","4,725.00","0.07K","3.51%"
"2019年9月16日","4,707.00","4,550.00","4,725.00","4,550.00","0.34K","5.59%"
"2019年9月12日","4,458.00","4,450.00","4,485.00","4,429.00","0.15K","0.79%"
"2019年9月11日","4,423.00","4,408.00","4,444.00","4,396.00","0.21K","0.45%"
"2019年9月10日","4,403.00","4,408.00","4,410.00","4,380.00","0.03K","0.14%"
"2019年9月9日","4,397.00","4,405.00","4,426.00","4,370.00","0.09K","-0.66%"
