date,price,price
2018-01-01,4.38,192
2018-01-02,4.445,195
2018-01-03,4.555,200
2018-01-04,4.555,200
2018-01-05,4.555,200
2018-01-06,4.555,200
2018-01-07,4.555,200
2018-01-08,4.445,195
2018-01-09,4.445,195
2018-01-14,4.445,195
2018-01-15,4.445,195
2018-01-16,4.445,195
2018-01-17,4.335,190
2018-01-18,4.22,185
2018-01-19,4.11,180
2018-01-20,4.18,183
2018-01-21,4.18,183
2018-01-22,4.18,183
2018-01-23,4.22,185
2018-01-24,4.335,190
2018-01-25,4.22,185
2018-01-26,4.11,180
2018-01-27,4.11,180
2018-01-28,4.11,180
2018-01-29,4.11,180
2018-01-30,4.11,180
2018-01-31,4.22,185
2018-02-01,4.22,185
2018-02-03,4.445,195
2018-02-04,4.445,195
2018-02-05,4.61,202
2018-02-06,4.665,205
2018-02-07,4.665,205
2018-02-08,4.78,210
2018-02-09,4.78,210
2018-02-10,4.78,210
2018-02-11,4.715,207
2018-02-12,4.475,196
2018-02-13,4.475,196
2018-02-14,4.475,196
2018-02-15,4.475,196
2018-02-16,4.475,196
2018-02-17,4.475,196
2018-02-18,4.475,196
2018-02-23,4.445,195
2018-02-24,4.445,195
2018-02-25,4.445,195
2018-02-26,4.33,190
2018-02-27,4.22,185
2018-02-28,4.11,180
2018-03-01,4.0,176
2018-03-02,3.94,173
2018-03-03,3.555,156
2018-03-04,3.475,152
2018-03-05,3.475,152
2018-03-06,3.445,151
2018-03-07,3.345,147
2018-03-08,3.345,147
2018-03-09,3.265,143
2018-03-10,3.22,141
2018-03-11,3.0,132
2018-03-12,3.0,132
2018-03-13,3.0,132
2018-03-14,3.0,132
2018-03-15,3.11,136
2018-03-16,3.11,136
2018-03-17,3.11,136
2018-03-18,3.11,136
2018-03-19,3.11,136
2018-03-20,3.11,136
2018-03-21,3.11,136
2018-03-22,3.05,134
2018-03-23,3.065,134
2018-03-24,3.18,139
2018-03-25,3.3,145
2018-03-26,3.335,146
2018-03-27,3.445,151
2018-03-28,3.445,151
2018-03-29,3.36,147
2018-03-31,3.22,141
2018-04-01,3.22,141
2018-04-02,3.22,141
2018-04-03,3.22,141
2018-04-04,3.155,138
2018-04-05,3.11,136
2018-04-06,3.11,136
2018-04-07,3.11,136
2018-04-08,3.11,136
2018-04-09,3.22,141
2018-04-10,3.29,144
2018-04-11,3.29,144
2018-04-12,3.335,146
2018-04-13,3.335,146
2018-04-14,3.335,146
2018-04-15,3.43,150
2018-04-16,3.49,153
2018-04-17,3.49,153
2018-04-18,3.555,156
2018-04-19,3.665,161
2018-04-20,3.78,166
2018-04-21,3.78,166
2018-04-22,3.845,169
2018-04-23,3.78,166
2018-04-24,3.78,166
2018-04-25,3.78,166
2018-04-26,3.675,161
2018-04-27,3.575,157
2018-04-28,3.555,156
2018-04-29,3.555,156
2018-04-30,3.555,156
2018-05-01,3.6,158
2018-05-02,3.735,164
2018-05-03,3.78,166
2018-05-04,3.78,166
2018-05-05,3.62,159
2018-05-06,3.51,154
2018-05-07,3.525,155
2018-05-08,3.555,156
2018-05-09,3.555,156
2018-05-10,3.555,156
2018-05-11,3.555,156
2018-05-12,3.555,156
2018-05-13,3.555,156
2018-05-14,3.555,156
2018-05-15,3.555,156
2018-05-16,3.51,154
2018-05-17,3.445,151
2018-05-18,3.445,151
2018-05-19,3.29,144
2018-05-20,3.335,146
2018-05-21,3.335,146
2018-05-22,3.445,151
2018-05-23,3.555,156
2018-05-24,3.665,161
2018-05-25,3.665,161
2018-05-26,3.665,161
2018-05-27,3.665,161
2018-05-28,3.665,161
2018-05-29,3.665,161
2018-05-30,3.665,161
2018-05-31,3.735,164
2018-06-01,3.735,164
2018-06-02,3.74,164
2018-06-03,3.665,161
2018-06-04,3.665,161
2018-06-05,3.665,161
2018-06-06,3.665,161
2018-06-07,3.665,161
2018-06-08,3.665,161
2018-06-09,3.555,156
2018-06-10,3.555,156
2018-06-11,3.445,151
2018-06-12,3.445,151
2018-06-13,3.445,151
2018-06-14,3.49,153
2018-06-15,3.49,153
2018-06-16,3.49,153
2018-06-17,3.445,151
2018-06-18,3.445,151
2018-06-19,3.445,151
2018-06-20,3.665,161
2018-06-21,3.665,161
2018-06-22,3.665,161
2018-06-23,3.555,156
2018-06-24,3.445,151
2018-06-25,3.49,153
2018-06-26,3.335,146
2018-06-27,3.335,146
2018-06-28,3.335,146
2018-06-29,3.335,146
2018-06-30,3.22,141
2018-07-01,3.0,132
2018-07-02,3.0,132
2018-07-03,3.0,132
2018-07-04,3.11,136
2018-07-05,3.22,141
2018-07-06,3.11,136
2018-07-07,3.11,136
2018-07-08,3.11,136
2018-07-09,3.11,136
2018-07-10,3.22,141
2018-07-11,3.335,146
2018-07-12,3.335,146
2018-07-13,3.51,154
2018-07-14,3.51,154
2018-07-15,3.555,156
2018-07-16,3.555,156
2018-07-17,3.735,164
2018-07-18,3.845,169
2018-07-19,3.89,171
2018-07-20,3.955,174
2018-07-21,4.045,177
2018-07-22,4.045,177
2018-07-23,4.0,176
2018-07-24,3.89,171
2018-07-25,3.82,168
2018-07-26,3.955,174
2018-07-27,4.045,177
2018-07-28,4.0,176
2018-07-30,3.89,171
2018-07-31,3.89,171
2018-08-01,3.89,171
2018-08-02,3.78,166
2018-08-03,3.89,171
2018-08-05,3.89,171
2018-08-06,4.0,176
2018-08-07,4.0,176
2018-08-08,4.045,177
2018-08-09,4.11,180
2018-08-10,4.11,180
2018-08-12,4.49,197
2018-08-13,4.555,200
2018-08-14,4.665,205
2018-08-15,4.89,215
2018-08-16,5.22,229
2018-08-17,5.0,220
2018-08-19,4.89,215
2018-08-20,4.89,215
2018-08-21,4.89,215
2018-08-22,4.89,215
2018-08-23,4.89,215
2018-08-24,4.89,215
2018-08-26,5.0,220
2018-08-27,5.0,220
2018-08-28,4.89,215
2018-08-29,4.665,205
2018-08-30,4.445,195
2018-08-31,4.335,190
2018-09-01,4.445,195
2018-09-03,4.22,185
2018-09-04,4.22,185
2018-09-05,4.22,185
2018-09-06,4.335,190
2018-09-07,4.555,200
2018-09-08,4.555,200
2018-09-09,4.555,200
2018-09-10,4.555,200
2018-09-11,4.555,200
2018-09-12,4.555,200
2018-09-14,4.6,202
2018-09-15,4.555,200
2018-09-16,4.555,200
2018-09-17,4.555,200
2018-09-18,4.555,200
2018-09-19,4.665,205
2018-09-20,4.78,210
2018-09-21,4.845,213
2018-09-22,4.78,210
2018-09-23,4.665,205
2018-09-24,4.555,200
2018-09-25,4.445,195
2018-09-26,4.335,190
2018-09-27,4.335,190
2018-09-28,4.335,190
2018-09-29,4.0,176
2018-09-30,3.89,171
2018-10-01,3.78,166
2018-10-02,3.665,161
2018-10-03,3.73,164
2018-10-04,4.0,176
2018-10-05,4.0,176
2018-10-06,4.0,176
2018-10-07,3.89,171
2018-10-08,3.78,166
2018-10-09,3.78,166
2018-10-10,3.78,166
2018-10-11,3.555,156
2018-10-12,3.555,156
2018-10-13,3.665,161
2018-10-14,3.735,164
2018-10-15,3.89,171
2018-10-16,3.89,171
2018-10-17,3.955,174
2018-10-18,3.89,171
2018-10-19,4.0,176
2018-10-20,4.11,180
2018-10-21,4.11,180
2018-10-22,4.11,180
2018-10-23,4.11,180
2018-10-24,4.0,176
2018-10-25,4.0,176
2018-10-26,4.0,176
2018-10-27,4.0,176
2018-10-28,4.0,176
2018-10-29,4.065,178
2018-10-30,4.11,180
2018-10-31,4.22,185
2018-11-01,4.22,185
2018-11-02,4.29,188
2018-11-03,4.29,188
2018-11-04,4.22,185
2018-11-05,4.11,180
2018-11-06,4.11,180
2018-11-07,4.11,180
2018-11-08,4.11,180
2018-11-09,4.22,185
2018-11-10,4.22,185
2018-11-11,4.22,185
2018-11-12,4.22,185
2018-11-13,4.22,185
2018-11-14,4.22,185
2018-11-15,4.22,185
2018-11-16,4.22,185
2018-11-17,4.225,185
2018-11-18,4.11,180
2018-11-19,4.11,180
2018-11-20,4.11,180
2018-11-21,4.065,178
2018-11-22,4.0,176
2018-11-23,3.89,171
2018-11-24,3.89,171
2018-11-25,4.0,176
2018-11-26,4.0,176
2018-11-27,4.0,176
2018-11-28,4.0,176
2018-11-29,3.89,171
2018-11-30,3.89,171
2018-12-01,3.78,166
2018-12-02,3.78,166
2018-12-03,3.78,166
2018-12-04,3.82,168
2018-12-05,3.89,171
2018-12-06,4.0,176
2018-12-07,4.0,176
2018-12-08,4.0,176
2018-12-09,3.78,166
2018-12-10,3.78,166
2018-12-11,3.665,161
2018-12-12,3.665,161
2018-12-13,3.665,161
2018-12-14,3.665,161
2018-12-15,3.89,171
2018-12-16,3.91,172
2018-12-17,3.89,171
2018-12-18,3.78,166
2018-12-19,3.89,171
2018-12-20,4.0,176
2018-12-21,4.0,176
2018-12-22,3.89,171
2018-12-23,3.89,171
2018-12-24,3.89,171
2018-12-25,3.89,171
2018-12-26,3.91,172
2018-12-27,3.91,172
2018-12-28,3.845,169
2018-12-29,3.845,169
2018-12-30,3.78,166
2018-12-31,3.78,166
