date,price
2019-10-15,10.00
2019-10-14,9.56
2019-10-13,9.33
2019-10-12,9.11
2019-10-11,8.89
2019-10-10,8.67
2019-10-09,9.11
2019-10-08,9.11
2019-10-07,8.89
2019-10-05,9.11
2019-10-04,8.89
2019-10-03,8.67
2019-10-02,8.67
2019-10-01,8.89
2019-09-30,8.67
2019-09-29,9.33
2019-09-28,9.78
2019-09-27,9.78
2019-09-26,9.78
2019-09-25,9.78
2019-09-24,10.44
2019-09-23,10.76
2019-09-21,10.67
2019-09-20,11.11
2019-09-19,11.11
2019-09-18,11.56
2019-09-16,10.67
2019-09-15,10.45
2019-09-14,10.00
2019-09-13,10.00
2019-09-12,10.00
2019-09-11,10.44
2019-09-10,10.44
2019-09-09,10.44
2019-09-08,11.33
2019-09-07,11.33
2019-09-06,11.33
2019-09-05,11.11
2019-09-04,10.89
2019-09-03,10.67
2019-09-02,10.44
2019-09-01,10.22
2019-08-30,10.67
2019-08-29,10.67
2019-08-28,10.89
2019-08-26,10.44
2019-08-24,10.44
2019-08-22,10.44
2019-08-21,10.22
2019-08-20,10.22
2019-08-19,10.22
2019-08-18,10.22
2019-08-17,10.00
2019-08-16,10.00
2019-08-15,10.00
2019-08-14,10.00
2019-08-13,9.00
2019-08-11,9.00
2019-08-08,8.43
2019-08-07,8.43
2019-08-06,8.43
2019-08-05,8.43
2019-08-01,7.64
2019-07-31,7.64
2019-07-30,7.50
2019-07-29,7.50
2019-07-28,7.50
2019-07-26,9.56
2019-07-25,9.56
2019-07-24,9.56
2019-07-23,9.56
2019-07-22,9.56
2019-07-21,9.56
2019-07-19,9.56
2019-07-18,10.00
2019-07-17,10.00
2019-07-09,7.00
2019-07-05,7.00
2019-07-04,7.00
2019-07-03,7.00
2019-07-02,7.00
2019-07-01,7.00
2019-06-30,7.00
2019-06-28,7.00
2019-06-27,7.00
2019-06-26,7.00
2019-06-25,7.00
2019-06-24,7.00
2019-06-23,7.00
2019-06-22,7.00
2019-06-21,7.00
2019-06-20,7.00
2019-06-19,7.00
2019-06-18,7.00
2019-06-17,7.00
2019-06-16,7.00
2019-06-15,7.00
2019-06-14,7.50
