date,open,high,low,close,vol
1994-12-01,28990.000,29010.000,28480.000,28480.000,11
1994-12-02,28450.000,28450.000,27930.000,28000.000,571
1994-12-05,28100.000,28150.000,27700.000,27950.000,390
1994-12-06,27600.000,27650.000,27485.000,27600.000,261
1994-12-07,27500.000,27915.000,27500.000,27850.000,319
1994-12-08,27600.000,27800.000,27600.000,27720.000,146
1994-12-09,28000.000,28000.000,27520.000,27640.000,166
1994-12-12,27500.000,27530.000,27450.000,27500.000,137
1994-12-13,27500.000,27550.000,27100.000,27120.000,245
1994-12-14,27000.000,27100.000,26580.000,26580.000,118
1994-12-15,26750.000,26800.000,26450.000,26600.000,310
1994-12-16,27130.000,27130.000,27000.000,27130.000,322
1994-12-19,27500.000,27500.000,27010.000,27100.000,254
1994-12-21,26500.000,26500.000,26200.000,26250.000,179
1994-12-22,26300.000,26310.000,26100.000,26250.000,190
1994-12-23,26250.000,26250.000,26150.000,26190.000,162
1994-12-26,26050.000,26050.000,25660.000,25700.000,119
1994-12-27,25700.000,25700.000,25450.000,25500.000,195
1994-12-28,25600.000,26000.000,25550.000,25980.000,195
1994-12-29,26400.000,26500.000,26400.000,26500.000,85
1994-12-30,26950.000,26950.000,26325.000,26620.000,216
1995-01-03,26400.000,26420.000,26335.000,26380.000,108
1995-01-04,25870.000,26000.000,25870.000,25950.000,190
1995-01-05,25950.000,26250.000,25950.000,26250.000,104
1995-01-06,26200.000,26200.000,25935.000,25935.000,59
1995-01-09,26000.000,26100.000,26000.000,26100.000,83
1995-01-11,26500.000,26600.000,26400.000,26400.000,102
1995-01-12,26300.000,26350.000,26300.000,26350.000,60
1995-01-13,26400.000,26450.000,26400.000,26420.000,51
1995-01-16,26400.000,26420.000,26380.000,26380.000,40
1995-01-17,26400.000,26440.000,26380.000,26420.000,53
1995-01-18,26500.000,26900.000,26500.000,26900.000,114
1995-01-19,26900.000,26950.000,26850.000,26915.000,84
1995-01-20,26800.000,27180.000,26800.000,27120.000,94
1995-01-23,27050.000,27350.000,27005.000,27340.000,80
1995-01-24,27300.000,27450.000,27300.000,27380.000,86
1995-01-26,27390.000,27660.000,27350.000,27450.000,61
1995-01-27,27490.000,27600.000,27490.000,27600.000,69
1995-03-01,26500.000,26500.000,26290.000,26350.000,40600
1995-03-02,26700.000,26700.000,26550.000,26560.000,30000
1995-03-03,26900.000,27055.000,26895.000,27050.000,38900
1995-03-06,27050.000,27280.000,27000.000,27020.000,19850
1995-03-07,26900.000,27000.000,26855.000,26990.000,15150
1995-03-08,27100.000,27250.000,27100.000,27220.000,23950
1995-03-09,27420.000,27455.000,27380.000,27400.000,22000
1995-03-13,27400.000,27450.000,27400.000,27420.000,5350
1995-03-14,27600.000,27750.000,27580.000,27750.000,17800
1995-03-15,27550.000,27650.000,27480.000,27500.000,9700
1995-03-16,27300.000,27350.000,27270.000,27320.000,4550
