date,open,high,low,close,vol
2014-01-08,1307.000,1307.000,1307.000,1307.000,2
2014-01-09,1353.000,1353.000,1353.000,1353.000,4
2014-01-14,1325.000,1335.000,1325.000,1335.000,4
2014-01-16,1339.000,1339.000,1339.000,1339.000,2
2014-01-17,1338.000,1350.000,1338.000,1350.000,4
2014-01-23,1336.000,1336.000,1336.000,1336.000,2
2014-01-29,1368.000,1368.000,1368.000,1368.000,2
2014-02-26,1358.000,1358.000,1358.000,1358.000,2
2014-02-28,1345.000,1345.000,1345.000,1345.000,2
2014-03-11,1309.000,1309.000,1309.000,1309.000,2
2014-03-17,1292.000,1292.000,1292.000,1292.000,2
2014-03-28,1263.000,1281.000,1261.000,1266.000,114
2014-03-31,1265.000,1297.000,1265.000,1286.000,36
2014-04-01,1272.000,1293.000,1272.000,1278.000,66
2014-04-02,1280.000,1297.000,1276.000,1280.000,52
2014-04-21,1235.000,1252.000,1235.000,1252.000,4
2014-04-22,1215.000,1240.000,1215.000,1238.000,106
2014-04-23,1240.000,1240.000,1240.000,1240.000,2
2014-04-24,1235.000,1235.000,1235.000,1235.000,2
2014-04-28,1220.000,1223.000,1220.000,1221.000,24
2014-04-29,1235.000,1250.000,1235.000,1250.000,18
2014-04-30,1252.000,1252.000,1252.000,1252.000,2
2014-05-01,1252.000,1252.000,1252.000,1252.000,2
2014-05-05,1240.000,1240.000,1240.000,1240.000,2
2014-05-06,1237.000,1237.000,1237.000,1237.000,2
2014-05-12,1210.000,1210.000,1210.000,1210.000,2
2014-05-14,1211.000,1211.000,1211.000,1211.000,2
2014-05-15,1201.000,1201.000,1198.000,1198.000,4
2014-05-19,1140.000,1140.000,1140.000,1140.000,4
2014-05-20,1124.000,1124.000,1124.000,1124.000,2
2014-05-21,1142.000,1142.000,1142.000,1142.000,2
2014-06-03,1102.000,1121.000,1102.000,1121.000,4
2014-06-12,1069.000,1069.000,1069.000,1069.000,2
2014-06-17,1035.000,1063.000,1035.000,1063.000,4
2014-06-20,1077.000,1077.000,1046.000,1046.000,8
2014-06-24,1078.000,1078.000,1062.000,1062.000,54
2014-06-26,1090.000,1096.000,1084.000,1094.000,10
2014-06-27,1083.000,1086.000,1076.000,1076.000,10
2014-06-30,1069.000,1086.000,1069.000,1069.000,2
2014-07-01,1069.000,1069.000,1069.000,1069.000,0
2014-07-08,1066.000,1066.000,1066.000,1066.000,2
2014-07-09,1058.000,1066.000,1030.000,1030.000,14
2014-07-10,1024.000,1058.000,1007.000,1007.000,4
2014-07-11,1021.000,1024.000,1007.000,1017.000,12
2014-07-14,1003.000,1003.000,1003.000,1003.000,2
2014-07-15,1010.000,1010.000,988.000,988.000,4
2014-07-16,1011.000,1011.000,988.000,1011.000,2
2014-07-17,1010.000,1038.000,1010.000,1038.000,4
2014-07-18,1010.000,1038.000,1010.000,1024.000,0
2014-07-21,1008.000,1034.000,1008.000,1034.000,22
2014-07-22,1008.000,1034.000,1008.000,1028.000,0
2014-07-23,1023.000,1034.000,1008.000,1024.000,22
2014-07-24,1025.000,1050.000,1022.000,1039.000,64
2014-07-25,1030.000,1031.000,1023.000,1026.000,48
2014-07-28,1023.000,1031.000,1023.000,1023.000,2
2014-07-29,1023.000,1023.000,1023.000,1043.000,0
2014-07-30,1023.000,1023.000,1023.000,1047.000,2
2014-07-31,1023.000,1023.000,1023.000,1047.000,0
2014-08-01,1049.000,1073.000,1023.000,1034.000,24
2014-08-04,1055.000,1073.000,1034.000,1055.000,4
2014-08-05,1064.000,1070.000,1053.000,1056.000,92
2014-08-06,1064.000,1070.000,1053.000,1063.000,0
2014-08-11,1060.000,1060.000,1060.000,1060.000,4
2014-08-12,1059.000,1060.000,1059.000,1059.000,8
2014-08-13,1059.000,1059.000,1059.000,1059.000,6
2014-08-14,1048.000,1059.000,1041.000,1054.000,20
2014-08-15,1052.000,1059.000,1041.000,1055.000,4
2014-08-18,1076.000,1076.000,1052.000,1076.000,2
2014-08-19,1073.000,1081.000,1069.000,1080.000,78
2014-08-20,1087.000,1087.000,1069.000,1087.000,2
2014-08-21,1087.000,1100.000,1075.000,1100.000,40
2014-08-22,1091.000,1100.000,1075.000,1088.000,6
2014-08-25,1091.000,1100.000,1088.000,1093.000,0
2014-08-26,1091.000,1100.000,1088.000,1095.000,6
2014-08-27,1091.000,1100.000,1088.000,1095.000,0
2014-08-28,1091.000,1100.000,1088.000,1092.000,20
2014-08-29,1082.000,1098.000,1082.000,1098.000,4
2014-09-01,1076.000,1098.000,1048.000,1048.000,10
2014-09-02,1060.000,1088.000,1048.000,1053.000,4
2014-09-03,1062.000,1062.000,1046.000,1046.000,4
2014-09-04,1054.000,1054.000,1054.000,1054.000,2
2014-09-05,1054.000,1054.000,1054.000,1054.000,0
2014-09-09,1051.000,1051.000,1033.000,1051.000,14
