date,open,high,low,close,vol
2017-06-01,878.000,900.000,878.000,888.000,182
2017-06-02,880.000,896.500,871.000,886.000,156
2017-06-05,881.000,898.000,877.000,898.000,170
2017-06-06,885.000,904.000,878.000,902.000,214
2017-06-07,904.000,907.000,890.000,896.000,146
2017-06-08,900.000,901.000,885.000,885.000,210
2017-06-09,876.000,899.000,876.000,878.000,248
2017-06-12,872.000,898.000,872.000,895.000,492
2017-06-13,893.000,901.000,890.000,891.000,184
2017-06-14,889.000,920.000,880.500,920.000,462
2017-06-15,915.000,918.000,901.000,911.000,216
2017-06-16,907.000,934.000,907.000,915.000,314
2017-06-19,916.000,955.000,915.500,943.000,500
2017-06-20,936.000,974.000,936.000,964.500,332
2017-06-21,956.000,987.000,948.000,986.500,384
2017-06-22,990.000,1004.000,984.000,991.000,342
2017-06-23,987.000,996.000,973.000,988.000,204
2017-06-26,995.000,995.000,971.500,972.000,210
2017-06-27,962.000,993.000,962.000,990.000,324
2017-06-28,984.000,1024.000,984.000,1015.000,396
2017-06-29,1007.000,1077.000,1006.500,1073.000,582
2017-06-30,1068.000,1073.000,1049.000,1069.000,322
2017-07-03,1062.000,1083.000,1054.500,1083.000,348
2017-07-04,1077.000,1087.000,1039.500,1042.500,500
2017-07-05,1051.000,1073.000,1049.000,1053.500,306
2017-07-06,1049.000,1055.000,1030.000,1051.000,446
2017-07-07,1044.000,1059.000,1042.000,1056.000,158
2017-07-10,1053.000,1075.000,1052.500,1057.500,214
2017-07-11,1068.000,1093.000,1056.500,1082.000,162
2017-07-12,1089.000,1096.000,1061.000,1064.000,350
2017-07-13,1058.000,1104.000,1058.000,1099.000,410
2017-07-14,1094.000,1094.000,1074.000,1086.500,296
2017-07-17,1086.000,1128.000,1081.500,1127.000,474
2017-07-18,1127.000,1140.000,1114.500,1124.000,412
2017-07-19,1123.000,1153.000,1113.000,1135.000,610
2017-07-20,1150.000,1150.000,1117.000,1124.000,388
2017-07-21,1132.000,1144.000,1108.000,1144.000,398
2017-07-24,1149.000,1149.000,1118.000,1143.000,208
2017-07-25,1136.000,1171.000,1125.500,1162.000,324
2017-07-26,1162.000,1199.000,1140.000,1154.000,672
2017-07-27,1152.000,1177.000,1152.000,1173.000,192
2017-07-28,1173.000,1183.000,1141.500,1176.000,522
2017-07-31,1179.000,1225.000,1166.000,1209.000,406
2017-08-01,1201.000,1220.000,1200.500,1201.500,196
2017-08-02,1209.000,1247.000,1204.000,1245.500,518
2017-08-03,1248.000,1248.000,1207.500,1215.500,1002
2017-08-04,1216.000,1227.000,1194.000,1208.000,854
2017-08-07,1213.000,1260.000,1184.500,1199.500,2192
2017-08-08,1208.000,1253.000,1205.000,1225.000,1328
2017-08-09,1227.000,1296.000,1222.500,1283.000,2004
2017-08-10,1285.000,1301.000,1265.000,1289.500,1210
2017-08-11,1287.000,1324.000,1251.000,1281.000,1280
2017-08-14,1280.000,1292.000,1248.000,1251.000,1576
2017-08-15,1255.000,1285.000,1228.000,1282.500,1418
2017-08-16,1284.000,1303.000,1270.000,1295.000,1356
2017-08-17,1302.000,1373.000,1302.000,1354.000,3772
2017-08-18,1353.000,1365.000,1330.000,1358.500,3466
2017-08-21,1352.000,1379.000,1315.000,1354.000,3536
2017-08-22,1350.000,1388.000,1346.000,1380.000,3932
2017-08-23,1377.000,1379.000,1324.000,1347.000,4050
2017-08-24,1358.000,1393.000,1348.000,1381.000,3366
2017-08-25,1371.000,1420.000,1370.000,1413.000,3512
2017-08-28,1417.000,1427.000,1360.000,1387.500,6064
2017-08-29,1397.000,1410.000,1316.000,1329.000,5668
2017-08-30,1334.500,1336.500,1295.500,1329.500,5506
2017-08-31,1330.000,1366.000,1317.000,1351.000,6540
2017-09-01,1360.000,1396.000,1349.000,1376.000,7882
2017-09-04,1375.000,1426.000,1336.500,1339.000,8158
2017-09-05,1343.000,1373.000,1320.000,1365.500,6248
2017-09-06,1367.000,1380.000,1318.500,1324.000,6814
2017-09-07,1324.000,1334.000,1277.000,1314.500,6594
2017-09-08,1317.000,1347.000,1293.000,1311.500,9092
2017-09-11,1312.000,1340.000,1282.000,1338.000,11388
2017-09-12,1345.000,1370.000,1327.500,1365.000,7602
2017-09-13,1360.000,1366.000,1320.000,1328.500,6742
2017-09-14,1333.000,1336.000,1300.000,1305.000,7684
2017-09-15,1306.000,1307.000,1228.000,1233.000,9252
2017-09-18,1242.000,1242.000,1188.500,1204.500,9702
2017-09-19,1200.000,1235.000,1200.000,1205.500,7276
2017-09-20,1209.000,1251.000,1192.500,1245.000,11698
2017-09-21,1249.000,1254.000,1155.500,1157.000,9306
2017-09-22,1157.000,1177.000,1142.000,1156.000,6634
2017-09-25,1155.000,1165.000,1082.000,1113.000,11648
2017-09-26,1118.000,1122.000,1088.000,1099.000,9782
2017-09-27,1088.000,1123.000,1086.500,1111.500,9808
2017-09-28,1112.000,1129.000,1058.000,1068.000,14014
2017-09-29,1072.000,1087.000,1046.000,1078.500,8838
2017-10-02,1072.000,1087.000,1046.000,1078.500,8838
2017-10-09,1086.000,1097.000,1034.500,1048.000,7900
2017-10-10,1058.000,1058.000,1030.000,1035.000,9140
