date,open,high,low,close,vol
2012-10-08,3335.000,3346.000,3296.000,3302.000,16568
2012-10-09,3320.000,3356.000,3315.000,3346.000,23848
2012-10-10,3330.000,3330.000,3308.000,3319.000,18008
2012-10-11,3301.000,3393.000,3300.000,3367.000,36054
2012-10-12,3377.000,3400.000,3332.000,3340.000,29174
2012-10-15,3310.000,3335.000,3301.000,3322.000,38524
2012-10-16,3338.000,3359.000,3334.000,3335.000,29952
2012-10-17,3320.000,3335.000,3310.000,3329.000,30344
2012-10-18,3337.000,3349.000,3337.000,3345.000,18336
2012-10-19,3361.000,3365.000,3346.000,3354.000,19952
2012-10-22,3354.000,3363.000,3331.000,3362.000,23136
2012-10-23,3359.000,3365.000,3320.000,3321.000,20816
2012-10-24,3333.000,3364.000,3333.000,3361.000,25452
2012-10-25,3362.000,3366.000,3334.000,3339.000,27338
2012-10-26,3339.000,3353.000,3320.000,3337.000,26296
2012-10-29,3330.000,3334.000,3281.000,3287.000,43248
2012-10-30,3278.000,3279.000,3248.000,3270.000,41302
2012-10-31,3275.000,3312.000,3260.000,3309.000,28042
2012-11-01,3310.000,3391.000,3310.000,3377.000,47582
2012-11-02,3368.000,3379.000,3343.000,3364.000,34744
2012-11-05,3330.000,3336.000,3301.000,3319.000,34566
2012-11-06,3314.000,3373.000,3314.000,3361.000,30904
2012-11-07,3376.000,3387.000,3317.000,3327.000,58332
2012-11-08,3312.000,3342.000,3301.000,3331.000,42870
2012-11-09,3323.000,3333.000,3302.000,3307.000,38596
2012-11-12,3250.000,3250.000,3185.000,3185.000,70404
2012-11-13,3175.000,3187.000,3126.000,3146.000,103324
2012-11-14,3156.000,3174.000,3140.000,3170.000,62906
2012-11-15,3155.000,3167.000,3086.000,3091.000,95786
2012-11-16,3091.000,3104.000,3062.000,3073.000,129332
2012-11-19,3091.000,3124.000,3091.000,3116.000,100480
2012-11-20,3116.000,3120.000,3074.000,3084.000,96070
2012-11-21,3112.000,3120.000,3101.000,3119.000,85230
2012-11-22,3120.000,3133.000,3103.000,3122.000,116544
2012-11-23,3119.000,3168.000,3117.000,3166.000,110680
2012-11-26,3170.000,3170.000,3147.000,3150.000,78526
2012-11-27,3160.000,3177.000,3160.000,3161.000,77518
2012-11-28,3182.000,3203.000,3170.000,3182.000,127630
2012-11-29,3185.000,3191.000,3165.000,3186.000,103344
2012-11-30,3180.000,3187.000,3166.000,3177.000,89518
2012-12-03,3188.000,3247.000,3182.000,3243.000,183924
2012-12-04,3239.000,3248.000,3217.000,3231.000,109670
2012-12-05,3245.000,3252.000,3232.000,3248.000,130674
2012-12-06,3270.000,3308.000,3270.000,3291.000,243128
2012-12-07,3289.000,3312.000,3276.000,3311.000,179634
2012-12-10,3281.000,3291.000,3270.000,3286.000,153468
2012-12-11,3291.000,3333.000,3291.000,3320.000,206776
2012-12-12,3318.000,3320.000,3283.000,3290.000,145578
2012-12-13,3306.000,3311.000,3288.000,3300.000,151270
2012-12-14,3307.000,3354.000,3302.000,3353.000,192484
2012-12-17,3373.000,3423.000,3370.000,3405.000,235122
