date,open,high,low,close,vol
2015-07-07,2388.000,2438.000,2388.000,2438.000,46
2015-07-09,2393.000,2417.000,2393.000,2394.000,22
2015-07-10,2372.000,2419.000,2329.000,2419.000,80
2015-07-13,2380.000,2384.000,2347.000,2369.000,48
2015-07-14,2376.000,2411.000,2294.000,2294.000,94
2015-07-15,2335.000,2358.000,2281.000,2281.000,52
2015-07-16,2308.000,2340.000,2308.000,2340.000,22
2015-07-17,2278.000,2331.000,2265.000,2331.000,58
2015-07-20,2329.000,2344.000,2265.000,2320.000,114
2015-07-21,2329.000,2344.000,2268.000,2306.000,0
2015-07-22,2296.000,2296.000,2286.000,2290.000,16
2015-07-23,2291.000,2296.000,2286.000,2291.000,2
2015-07-24,2291.000,2291.000,2210.000,2236.000,18
2015-07-27,2218.000,2219.000,2157.000,2157.000,34
2015-07-28,2118.000,2164.000,2118.000,2163.000,24
2015-07-29,2204.000,2204.000,2166.000,2166.000,4
2015-07-30,2198.000,2198.000,2198.000,2198.000,2
2015-07-31,2198.000,2198.000,2198.000,2179.000,0
2015-08-03,2138.000,2138.000,2091.000,2095.000,24
2015-08-04,2035.000,2085.000,2030.000,2085.000,64
2015-08-05,2060.000,2085.000,2030.000,2060.000,2
2015-08-06,2133.000,2133.000,2019.000,2023.000,22
2015-08-07,2040.000,2040.000,2006.000,2016.000,26
2015-08-10,2038.000,2041.000,2038.000,2041.000,4
2015-08-11,2120.000,2120.000,2038.000,2120.000,2
2015-08-12,2120.000,2120.000,2120.000,2113.000,0
2015-08-13,2087.000,2150.000,2087.000,2150.000,136
2015-08-14,2140.000,2155.000,2137.000,2150.000,124
2015-08-17,2164.000,2164.000,2102.000,2132.000,18
2015-08-18,2135.000,2164.000,2102.000,2118.000,6
2015-08-19,2135.000,2135.000,2118.000,2124.000,0
2015-08-24,2043.000,2043.000,1984.000,1984.000,184
2015-08-25,1952.000,1989.000,1950.000,1950.000,10
2015-08-26,1974.000,1977.000,1936.000,1936.000,10
2015-08-27,1969.000,1974.000,1962.000,1974.000,8
2015-08-28,2000.000,2047.000,2000.000,2047.000,16
2015-08-31,2007.000,2036.000,2000.000,2000.000,28
2015-09-01,1960.000,2008.000,1960.000,1971.000,24
2015-09-07,1970.000,1970.000,1970.000,1970.000,2
2015-09-09,1970.000,1995.000,1970.000,1995.000,12
2015-09-11,2001.000,2001.000,2001.000,2001.000,18
2015-09-14,1994.000,1994.000,1959.000,1978.000,6
2015-09-16,1983.000,1998.000,1983.000,1998.000,18
2015-09-17,1998.000,1999.000,1997.000,1997.000,16
2015-09-18,2012.000,2012.000,1972.000,1972.000,20
2015-09-22,1983.000,1989.000,1983.000,1989.000,4
2015-09-23,1974.000,1974.000,1974.000,1974.000,2
2015-09-24,2008.000,2008.000,1992.000,1992.000,6
2015-09-25,2000.000,2003.000,1970.000,1991.000,52
2015-10-09,2010.000,2067.000,2010.000,2067.000,6
2015-10-13,2026.000,2026.000,2026.000,2026.000,2
2015-10-22,1964.000,1969.000,1951.000,1963.000,24
2015-10-26,1936.000,1936.000,1936.000,1936.000,2
2015-10-29,1939.000,1941.000,1937.000,1937.000,14
2015-10-30,1935.000,1935.000,1935.000,1935.000,2
2015-11-02,1896.000,1951.000,1896.000,1951.000,12
2015-11-03,1916.000,1930.000,1916.000,1930.000,10
2015-11-04,1898.000,1938.000,1898.000,1938.000,6
2015-11-05,1938.000,1958.000,1928.000,1937.000,32
2015-11-06,1934.000,1937.000,1933.000,1937.000,8
2015-11-09,1928.000,1936.000,1928.000,1936.000,8
2015-11-10,1892.000,1892.000,1892.000,1892.000,6
2015-11-11,1905.000,1905.000,1868.000,1868.000,6
2015-11-12,1842.000,1842.000,1828.000,1828.000,14
2015-11-17,1836.000,1836.000,1827.000,1836.000,10
2015-11-18,1750.000,1787.000,1750.000,1779.000,76
2015-11-19,1742.000,1771.000,1742.000,1751.000,78
2015-11-20,1796.000,1796.000,1724.000,1724.000,46
2015-11-23,1748.000,1757.000,1667.000,1667.000,60
2015-11-24,1659.000,1699.000,1625.000,1699.000,106
2015-11-25,1676.000,1697.000,1676.000,1697.000,10
2015-11-26,1685.000,1730.000,1660.000,1708.000,64
2015-11-27,1701.000,1701.000,1701.000,1701.000,2
2015-11-30,1679.000,1681.000,1671.000,1671.000,8
2015-12-01,1686.000,1704.000,1679.000,1704.000,26
2015-12-02,1712.000,1712.000,1695.000,1695.000,4
2015-12-03,1688.000,1688.000,1655.000,1655.000,426
2015-12-04,1652.000,1659.000,1646.000,1656.000,18
2015-12-08,1643.000,1649.000,1617.000,1622.000,40
2015-12-09,1617.000,1642.000,1617.000,1637.000,40
2015-12-10,1618.000,1642.000,1618.000,1639.000,90
2015-12-11,1645.000,1658.000,1645.000,1658.000,20
2015-12-14,1666.000,1671.000,1646.000,1671.000,30
2015-12-15,1678.000,1678.000,1657.000,1657.000,18
2015-12-16,1676.000,1676.000,1676.000,1676.000,2
2015-12-17,1680.000,1680.000,1662.000,1662.000,4
2015-12-18,1667.000,1681.000,1664.000,1681.000,332
2015-12-21,1631.000,1702.000,1631.000,1702.000,82
2015-12-22,1703.000,1721.000,1694.000,1720.000,306
2015-12-23,1728.000,1735.000,1706.000,1726.000,158
2015-12-24,1734.000,1746.000,1733.000,1733.000,26
2015-12-25,1712.000,1785.000,1707.000,1728.000,382
2015-12-28,1720.000,1733.000,1683.000,1717.000,112
2015-12-29,1713.000,1721.000,1703.000,1720.000,50
2015-12-30,1723.000,1744.000,1723.000,1727.000,10
2015-12-31,1716.000,1746.000,1716.000,1746.000,12
2016-01-04,1729.000,1731.000,1729.000,1729.000,6
2016-01-05,1737.000,1737.000,1721.000,1721.000,8
2016-01-06,1737.000,1737.000,1737.000,1737.000,2
2016-01-07,1742.000,1742.000,1718.000,1718.000,34
2016-01-08,1735.000,1768.000,1732.000,1749.000,50
2016-01-11,1763.000,1763.000,1717.000,1720.000,26
2016-01-12,1713.000,1725.000,1688.000,1688.000,40
2016-01-13,1707.000,1709.000,1671.000,1671.000,50
2016-01-14,1675.000,1681.000,1672.000,1680.000,38
2016-01-15,1687.000,1687.000,1672.000,1676.000,14
2016-01-18,1671.000,1698.000,1671.000,1698.000,14
2016-01-19,1686.000,1745.000,1686.000,1735.000,34
2016-01-20,1708.000,1708.000,1708.000,1708.000,2
2016-01-21,1726.000,1735.000,1725.000,1725.000,8
2016-01-22,1741.000,1756.000,1729.000,1733.000,66
2016-01-25,1732.000,1736.000,1732.000,1732.000,18
2016-01-26,1721.000,1727.000,1712.000,1712.000,12
2016-01-27,1737.000,1737.000,1737.000,1737.000,10
2016-01-28,1727.000,1735.000,1716.000,1731.000,18
2016-01-29,1731.000,1737.000,1721.000,1721.000,20
2016-02-01,1724.000,1725.000,1724.000,1725.000,16
2016-02-02,1726.000,1726.000,1710.000,1710.000,4
2016-02-03,1724.000,1724.000,1724.000,1724.000,4
2016-02-04,1743.000,1775.000,1743.000,1757.000,68
2016-02-15,1787.000,1805.000,1634.000,1771.000,150
2016-02-16,1807.000,1807.000,1756.000,1792.000,42
2016-02-18,1801.000,1820.000,1791.000,1812.000,42
2016-02-19,1829.000,1844.000,1828.000,1838.000,12
2016-02-22,1861.000,1871.000,1825.000,1825.000,54
2016-02-23,1844.000,1844.000,1829.000,1839.000,10
2016-02-24,1837.000,1837.000,1835.000,1835.000,6
2016-02-25,1744.000,1823.000,1744.000,1812.000,218
2016-02-26,1799.000,1820.000,1773.000,1784.000,166
2016-02-29,1766.000,1794.000,1766.000,1782.000,30
2016-03-01,1798.000,1805.000,1772.000,1805.000,62
2016-03-02,1826.000,1826.000,1811.000,1811.000,8
2016-03-03,1770.000,1790.000,1770.000,1785.000,138
2016-03-04,1806.000,1806.000,1784.000,1796.000,30
2016-03-07,1832.000,1882.000,1832.000,1876.000,634
2016-03-08,1892.000,1920.000,1827.000,1874.000,736
2016-03-09,1913.000,1960.000,1889.000,1946.000,362
2016-03-10,1943.000,1964.000,1899.000,1899.000,104
2016-03-11,1909.000,1914.000,1900.000,1903.000,30
2016-03-14,1891.000,1943.000,1891.000,1922.000,70
2016-03-15,1919.000,1944.000,1907.000,1911.000,70
2016-03-16,1906.000,1934.000,1893.000,1934.000,48
2016-03-17,2011.000,2011.000,1877.000,1949.000,1098
2016-03-18,1981.000,2031.000,1967.000,2012.000,22
2016-03-21,2013.000,2044.000,2009.000,2030.000,48
2016-03-22,2063.000,2080.000,1994.000,2003.000,278
2016-03-23,1998.000,2029.000,1995.000,1995.000,24
2016-03-24,1976.000,1980.000,1934.000,1934.000,6
2016-03-25,1962.000,1962.000,1908.000,1931.000,20
2016-03-28,1937.000,1937.000,1902.000,1902.000,98
2016-03-29,1897.000,1903.000,1897.000,1901.000,6
2016-03-31,1876.000,1876.000,1876.000,1876.000,2
2016-04-01,1871.000,1908.000,1830.000,1877.000,18
2016-04-05,1849.000,1856.000,1836.000,1836.000,46
2016-04-11,1940.000,1941.000,1771.000,1771.000,38
2016-04-12,1858.000,1858.000,1806.000,1837.000,44
2016-04-13,1894.000,1914.000,1884.000,1894.000,18
2016-04-14,1919.000,1932.000,1919.000,1930.000,8
2016-04-15,1926.000,1926.000,1904.000,1904.000,18
2016-04-18,1895.000,1895.000,1895.000,1895.000,6
2016-04-19,1956.000,1956.000,1892.000,1892.000,18
2016-04-20,1951.000,1951.000,1868.000,1925.000,592
2016-04-21,1951.000,2003.000,1920.000,1976.000,44
2016-04-22,1947.000,1948.000,1947.000,1948.000,8
2016-04-25,1988.000,2045.000,1940.000,1961.000,34
2016-04-26,2051.000,2051.000,1944.000,1949.000,242
2016-04-27,2029.000,2029.000,1972.000,1998.000,6
2016-04-28,1938.000,1938.000,1938.000,1938.000,2
2016-05-04,1971.000,1977.000,1897.000,1973.000,30
2016-05-05,1967.000,1967.000,1967.000,1967.000,2
2016-05-17,1872.000,1918.000,1872.000,1918.000,12
2016-05-18,1905.000,1905.000,1876.000,1876.000,4
2016-05-19,1840.000,1840.000,1823.000,1823.000,18
2016-05-20,1758.000,1770.000,1758.000,1764.000,38
2016-05-23,1760.000,1760.000,1758.000,1758.000,12
2016-05-24,1759.000,1759.000,1730.000,1730.000,6
2016-05-25,1714.000,1725.000,1714.000,1725.000,4
2016-05-26,1738.000,1739.000,1702.000,1720.000,20
2016-05-27,1704.000,1739.000,1704.000,1738.000,16
2016-05-30,1804.000,1804.000,1720.000,1720.000,4
2016-05-31,1770.000,1839.000,1762.000,1839.000,14
2016-06-02,1900.000,2019.000,1900.000,2000.000,12
2016-06-08,1900.000,2019.000,1900.000,1953.000,12
