date,open,high,low,close,vol
2016-01-04,1823.000,1840.000,1802.000,1802.000,138
2016-01-05,1804.000,1809.000,1784.000,1801.000,168
2016-01-06,1801.000,1809.000,1779.000,1787.000,372
2016-01-07,1794.000,1802.000,1786.000,1789.000,156
2016-01-08,1786.000,1789.000,1758.000,1778.000,188
2016-01-11,1781.000,1783.000,1763.000,1777.000,204
2016-01-12,1773.000,1776.000,1753.000,1753.000,192
2016-01-13,1758.000,1767.000,1754.000,1756.000,170
2016-01-14,1760.000,1775.000,1750.000,1775.000,376
2016-01-15,1773.000,1794.000,1773.000,1777.000,156
2016-01-18,1779.000,1830.000,1772.000,1828.000,400
2016-01-19,1833.000,1843.000,1823.000,1837.000,100
2016-01-20,1837.000,1855.000,1812.000,1815.000,80
2016-01-21,1810.000,1823.000,1800.000,1800.000,290
2016-01-22,1809.000,1843.000,1809.000,1818.000,362
2016-01-25,1829.000,1852.000,1820.000,1832.000,58
2016-01-26,1831.000,1838.000,1804.000,1833.000,146
2016-01-27,1836.000,1850.000,1834.000,1844.000,142
2016-01-28,1849.000,1857.000,1814.000,1814.000,150
2016-01-29,1814.000,1828.000,1806.000,1811.000,92
2016-02-01,1825.000,1834.000,1816.000,1816.000,98
2016-02-02,1812.000,1818.000,1805.000,1810.000,86
2016-02-03,1818.000,1820.000,1812.000,1820.000,176
2016-02-04,1826.000,1848.000,1826.000,1846.000,126
2016-02-05,1840.000,1840.000,1828.000,1837.000,124
2016-02-15,1836.000,1872.000,1836.000,1862.000,44
2016-02-16,1871.000,1873.000,1856.000,1857.000,350
2016-02-17,1857.000,1866.000,1849.000,1849.000,114
2016-02-18,1848.000,1848.000,1848.000,1848.000,2
2016-02-19,1861.000,1869.000,1853.000,1859.000,72
2016-02-22,1873.000,1920.000,1865.000,1917.000,264
2016-02-23,1910.000,1919.000,1900.000,1901.000,292
2016-02-24,1904.000,1907.000,1884.000,1894.000,122
2016-02-25,1909.000,1916.000,1876.000,1888.000,170
2016-02-26,1895.000,1895.000,1866.000,1881.000,52
2016-02-29,1880.000,1903.000,1875.000,1896.000,390
2016-03-01,1909.000,1968.000,1908.000,1939.000,442
2016-03-02,1942.000,1976.000,1929.000,1966.000,334
2016-03-03,1970.000,1982.000,1951.000,1951.000,306
2016-03-04,1953.000,1983.000,1929.000,1975.000,300
2016-03-07,1988.000,2068.000,1988.000,2068.000,112
2016-03-08,2149.000,2209.000,2040.000,2199.000,2226
2016-03-09,2093.000,2117.000,2052.000,2052.000,1296
2016-03-10,2072.000,2145.000,2057.000,2079.000,1282
2016-03-11,2062.000,2062.000,1991.000,2005.000,892
2016-03-14,1986.000,2050.000,1960.000,1970.000,516
2016-03-15,1969.000,1981.000,1954.000,1958.000,298
2016-03-16,1950.000,1985.000,1950.000,1983.000,182
2016-03-17,1997.000,2051.000,1990.000,2035.000,216
2016-03-18,2051.000,2110.000,2047.000,2110.000,438
2016-03-21,2087.000,2160.000,2056.000,2111.000,632
2016-03-22,2111.000,2136.000,2099.000,2114.000,158
2016-03-23,2120.000,2180.000,2099.000,2147.000,394
2016-03-24,2141.000,2153.000,2069.000,2073.000,706
2016-03-25,2086.000,2129.000,2084.000,2128.000,164
2016-03-28,2127.000,2159.000,2070.000,2070.000,740
2016-03-29,2084.000,2109.000,2065.000,2086.000,392
2016-03-30,2089.000,2089.000,2033.000,2049.000,512
2016-03-31,2058.000,2155.000,2044.000,2067.000,334
2016-04-01,2071.000,2110.000,2057.000,2108.000,558
2016-04-05,2069.000,2116.000,2069.000,2097.000,372
2016-04-06,2106.000,2109.000,2086.000,2098.000,224
2016-04-07,2100.000,2116.000,2093.000,2116.000,136
2016-04-08,2097.000,2110.000,2097.000,2110.000,164
2016-04-11,2121.000,2198.000,2121.000,2170.000,720
2016-04-12,2180.000,2237.000,2174.000,2225.000,636
2016-04-13,2238.000,2327.000,2064.000,2274.000,982
2016-04-14,2269.000,2280.000,2227.000,2227.000,744
2016-04-15,2220.000,2236.000,2211.000,2211.000,308
2016-04-18,2205.000,2320.000,2205.000,2297.000,534
2016-04-19,2321.000,2405.000,2313.000,2405.000,1136
2016-04-20,2411.000,2485.000,2411.000,2485.000,1524
2016-04-21,2435.000,2684.000,2435.000,2668.000,1642
2016-04-22,2588.000,2630.000,2500.000,2521.000,1470
2016-04-25,2520.000,2670.000,2500.000,2537.000,1256
2016-04-26,2487.000,2541.000,2439.000,2465.000,286
2016-04-27,2480.000,2488.000,2363.000,2410.000,764
2016-04-28,2421.000,2519.000,2333.000,2435.000,1942
2016-04-29,2452.000,2494.000,2442.000,2487.000,1864
2016-05-03,2432.000,2437.000,2348.000,2366.000,452
2016-05-04,2331.000,2364.000,2259.000,2293.000,836
2016-05-05,2299.000,2312.000,2208.000,2217.000,544
2016-05-06,2226.000,2264.000,2196.000,2243.000,404
2016-05-09,2259.000,2259.000,2102.000,2102.000,734
2016-05-10,2039.000,2102.000,1997.000,2078.000,1726
2016-05-11,2103.000,2104.000,2056.000,2104.000,272
2016-05-12,2090.000,2103.000,2022.000,2033.000,764
2016-05-13,2022.000,2035.000,1941.000,2001.000,990
2016-05-16,1992.000,2036.000,1992.000,2016.000,496
2016-05-17,2013.000,2069.000,2008.000,2069.000,310
2016-05-18,2067.000,2089.000,2007.000,2020.000,356
2016-05-19,2018.000,2032.000,1993.000,1998.000,142
2016-05-20,1996.000,2032.000,1993.000,2024.000,128
2016-05-23,2015.000,2015.000,1892.000,1926.000,386
2016-05-24,1919.000,1963.000,1899.000,1919.000,756
2016-05-25,1928.000,1934.000,1897.000,1901.000,158
2016-05-26,1901.000,1935.000,1901.000,1935.000,312
2016-05-27,1924.000,2006.000,1911.000,1999.000,362
2016-05-30,1999.000,2019.000,1903.000,1967.000,526
2016-05-31,1970.000,1991.000,1952.000,1956.000,204
2016-06-01,1953.000,1966.000,1928.000,1938.000,158
2016-06-02,1934.000,1960.000,1932.000,1940.000,214
2016-06-03,1954.000,1988.000,1954.000,1970.000,160
2016-06-06,1998.000,2044.000,1969.000,2033.000,406
2016-06-07,2037.000,2069.000,2032.000,2041.000,214
2016-06-08,2036.000,2100.000,2020.000,2062.000,1210
2016-06-13,2079.000,2129.000,2056.000,2122.000,786
2016-06-14,2123.000,2124.000,2031.000,2043.000,394
2016-06-15,2031.000,2054.000,2021.000,2027.000,204
2016-06-16,2041.000,2065.000,2030.000,2030.000,958
2016-06-17,2027.000,2037.000,2003.000,2031.000,230
2016-06-20,2032.000,2051.000,2025.000,2032.000,94
2016-06-21,2027.000,2064.000,2024.000,2033.000,180
2016-06-22,2045.000,2080.000,2045.000,2078.000,182
