date,open,high,low,close,vol
2018-11-27,5900.000,5900.000,5382.000,5382.000,12496
2018-11-28,5188.000,5380.000,5134.000,5156.000,24742
2018-11-29,5122.000,5210.000,5052.000,5110.000,25066
2018-11-30,5130.000,5130.000,5056.000,5082.000,14348
2018-12-03,5076.000,5208.000,4930.000,4940.000,33270
2018-12-04,4944.000,5032.000,4942.000,5000.000,22650
2018-12-05,5000.000,5058.000,4970.000,5026.000,34820
2018-12-06,5046.000,5112.000,5010.000,5012.000,34672
2018-12-07,5010.000,5046.000,4978.000,5008.000,24736
2018-12-10,5014.000,5052.000,5002.000,5018.000,20140
2018-12-11,5026.000,5042.000,4970.000,4976.000,20296
2018-12-12,5000.000,5010.000,4978.000,5002.000,8738
2018-12-13,5010.000,5014.000,4988.000,4998.000,8212
2018-12-14,4990.000,5016.000,4982.000,4994.000,7584
2018-12-17,4990.000,5004.000,4984.000,4994.000,5302
2018-12-18,5004.000,5008.000,4986.000,4992.000,5056
2018-12-19,4990.000,5002.000,4920.000,4938.000,10602
2018-12-20,4942.000,4948.000,4922.000,4938.000,4812
2018-12-21,4944.000,4946.000,4920.000,4926.000,4840
2018-12-24,4906.000,4940.000,4870.000,4878.000,8186
2018-12-25,4878.000,4910.000,4856.000,4870.000,9522
2018-12-26,4880.000,4884.000,4802.000,4810.000,11786
2018-12-27,4816.000,4858.000,4810.000,4822.000,8770
2018-12-28,4820.000,4918.000,4810.000,4896.000,7614
2019-01-02,4888.000,4976.000,4868.000,4950.000,9934
2019-01-03,4940.000,4980.000,4930.000,4960.000,6404
2019-01-04,4964.000,5078.000,4950.000,5000.000,15996
2019-01-07,5016.000,5044.000,4984.000,5042.000,10286
2019-01-08,5034.000,5054.000,5008.000,5020.000,6574
2019-01-09,5026.000,5194.000,5022.000,5150.000,19046
2019-01-10,5158.000,5232.000,5136.000,5146.000,17514
2019-01-11,5156.000,5200.000,5128.000,5200.000,6218
2019-01-14,5200.000,5228.000,5150.000,5164.000,8026
2019-01-15,5168.000,5168.000,5090.000,5122.000,8580
2019-01-16,5106.000,5228.000,5106.000,5198.000,9052
2019-01-17,5196.000,5214.000,5162.000,5184.000,5410
2019-01-18,5176.000,5300.000,5144.000,5264.000,14026
2019-01-21,5274.000,5354.000,5262.000,5328.000,9848
2019-01-22,5328.000,5428.000,5320.000,5334.000,16796
2019-01-23,5340.000,5370.000,5306.000,5344.000,6052
2019-01-24,5388.000,5388.000,5292.000,5308.000,10262
2019-01-25,5302.000,5392.000,5282.000,5336.000,11004
2019-01-28,5330.000,5362.000,5240.000,5262.000,8216
2019-01-29,5268.000,5286.000,5236.000,5248.000,5988
2019-01-30,5256.000,5300.000,5242.000,5248.000,6052
2019-01-31,5250.000,5338.000,5212.000,5334.000,8212
2019-02-01,5342.000,5440.000,5316.000,5372.000,15928
2019-02-11,5360.000,5440.000,5310.000,5332.000,5328
2019-02-12,5332.000,5422.000,5330.000,5410.000,6136
2019-02-13,5418.000,5452.000,5354.000,5376.000,7282
2019-02-14,5368.000,5412.000,5302.000,5324.000,8310
2019-02-15,5326.000,5336.000,5274.000,5308.000,8366
2019-02-18,5324.000,5386.000,5300.000,5384.000,10320
2019-02-19,5398.000,5440.000,5372.000,5434.000,7666
2019-02-20,5440.000,5470.000,5394.000,5410.000,5510
2019-02-21,5404.000,5544.000,5404.000,5540.000,10244
2019-02-22,5532.000,5638.000,5512.000,5626.000,15232
2019-02-25,5620.000,5664.000,5592.000,5594.000,19912
2019-02-26,5596.000,5612.000,5526.000,5584.000,15382
2019-02-27,5588.000,5604.000,5522.000,5538.000,13598
2019-02-28,5548.000,5572.000,5472.000,5498.000,11264
2019-03-01,5496.000,5544.000,5492.000,5538.000,8888
2019-03-04,5548.000,5580.000,5444.000,5482.000,17562
2019-03-05,5488.000,5514.000,5470.000,5488.000,9576
2019-03-06,5502.000,5520.000,5472.000,5474.000,10962
2019-03-07,5474.000,5490.000,5416.000,5428.000,11148
2019-03-08,5420.000,5434.000,5318.000,5348.000,20076
2019-03-11,5316.000,5388.000,5310.000,5378.000,8494
2019-03-12,5380.000,5394.000,5352.000,5360.000,6228
2019-03-13,5366.000,5396.000,5330.000,5330.000,7542
2019-03-14,5340.000,5366.000,5304.000,5318.000,10884
2019-03-15,5318.000,5360.000,5266.000,5348.000,5734
2019-03-18,5342.000,5370.000,5326.000,5360.000,7206
2019-03-19,5370.000,5396.000,5336.000,5356.000,10396
2019-03-20,5358.000,5378.000,5240.000,5246.000,14088
2019-03-21,5246.000,5268.000,5230.000,5242.000,10454
2019-03-22,5240.000,5270.000,5212.000,5260.000,8684
2019-03-25,5262.000,5268.000,5216.000,5236.000,7164
2019-03-26,5258.000,5266.000,5228.000,5238.000,5994
2019-03-27,5240.000,5280.000,5220.000,5246.000,8196
2019-03-28,5250.000,5268.000,5162.000,5200.000,17634
2019-03-29,5204.000,5300.000,5176.000,5276.000,16446
2019-04-01,5300.000,5370.000,5254.000,5338.000,24672
2019-04-02,5342.000,5356.000,5306.000,5324.000,10018
2019-04-03,5348.000,5416.000,5270.000,5414.000,17666
2019-04-04,5418.000,5428.000,5382.000,5402.000,9948
2019-04-08,5410.000,5462.000,5378.000,5438.000,15520
2019-04-09,5448.000,5468.000,5392.000,5418.000,16130
2019-04-10,5422.000,5442.000,5364.000,5418.000,16362
2019-04-11,5402.000,5448.000,5374.000,5436.000,18316
2019-04-12,5434.000,5450.000,5406.000,5408.000,20094
2019-04-15,5424.000,5514.000,5410.000,5424.000,35382
2019-04-16,5424.000,5446.000,5376.000,5382.000,19784
2019-04-17,5388.000,5410.000,5336.000,5338.000,26526
2019-04-18,5338.000,5354.000,5318.000,5338.000,21632
2019-04-19,5338.000,5386.000,5288.000,5380.000,27222
2019-04-22,5380.000,5414.000,5370.000,5396.000,21340
2019-04-23,5398.000,5418.000,5342.000,5344.000,19970
2019-04-24,5344.000,5364.000,5304.000,5344.000,20342
2019-04-25,5346.000,5354.000,5316.000,5322.000,15970
2019-04-26,5306.000,5320.000,5230.000,5236.000,46684
2019-04-29,5222.000,5258.000,5208.000,5244.000,26584
2019-04-30,5258.000,5258.000,5186.000,5204.000,23314
2019-05-06,5158.000,5192.000,5080.000,5098.000,46322
2019-05-07,5090.000,5128.000,5080.000,5116.000,42726
2019-05-08,5110.000,5134.000,5104.000,5112.000,30698
2019-05-09,5110.000,5124.000,5052.000,5056.000,73158
2019-05-10,5058.000,5094.000,5054.000,5080.000,44696
2019-05-13,5084.000,5164.000,5034.000,5130.000,155824
2019-05-14,5130.000,5134.000,4922.000,5002.000,217574
2019-05-15,5008.000,5018.000,4954.000,4996.000,95814
2019-05-16,4988.000,5040.000,4984.000,4996.000,110018
2019-05-17,4998.000,5020.000,4902.000,4936.000,206680
2019-05-20,4944.000,4984.000,4916.000,4940.000,105426
2019-05-21,4936.000,4976.000,4930.000,4964.000,92782
2019-05-22,4966.000,4972.000,4862.000,4874.000,150630
2019-05-23,4880.000,4904.000,4822.000,4880.000,154288
2019-05-24,4886.000,4946.000,4842.000,4882.000,222468
2019-05-27,4884.000,4918.000,4836.000,4898.000,171218
2019-05-28,4850.000,4940.000,4830.000,4900.000,207124
2019-05-29,4900.000,4964.000,4894.000,4934.000,265480
2019-05-30,4940.000,4942.000,4852.000,4866.000,223858
2019-05-31,4876.000,4890.000,4834.000,4844.000,196420
2019-06-03,4846.000,4848.000,4650.000,4682.000,325166
2019-06-04,4698.000,4720.000,4674.000,4702.000,159250
